id,text,external_id
Estacionamientos,2,36
Número de piso de la unidad,3,36
Departamentos por piso,6,36
Cantidad de pisos,5,36
Antigüedad,2 años,36
Disposición,Frente,36
Superficie total,158 m²,37
Superficie construida,158 m²,37
Ambientes,4,37
Recámaras,2,37
Baños,2,37
Estacionamientos,2,37
Antigüedad,0 años,37
Superficie construida,23 m²,38
Estacionamientos,1,38
Superficie total,141 m²,39
Superficie construida,141 m²,39
Ambientes,3,39
Recámaras,3,39
Baños,3,39
Estacionamientos,1,39
Tipo de departamento,Loft,39
Antigüedad,3 años,39
Cuota mensual de mantenimiento,4665 MXN,39
Superficie total,97 m²,40
Superficie construida,97 m²,40
Estacionamientos,1,40
Baños,1,40
Antigüedad,0 años,40
Ambientes,1,40
Superficie total,200 m²,41
Superficie construida,200 m²,41
Baños,2,41
Antigüedad,0 años,41
Ambientes,2,41
Superficie total,208 m²,42
Superficie construida,208 m²,42
Recámaras,3,42
Baños,2,42
Estacionamientos,1,42
Admite mascotas,Sí,42
Número de piso de la unidad,1,42
Departamentos por piso,2,42
Cantidad de pisos,10,42
Disposición,Frente,42
Orientación,Oriente,42
Cuota mensual de mantenimiento,1 MXN,42
Superficie total,99 m²,43
Superficie construida,99 m²,43
Recámaras,2,43
Baños,2,43
Estacionamientos,2,43
Bodegas,1,43
Antigüedad,7 años,43
Cuota mensual de mantenimiento,2200 MXN,43
Superficie total,94 m²,44
Superficie construida,94 m²,44
Ambientes,4,44
Recámaras,2,44
Baños,2,44
Estacionamientos,2,44
Antigüedad,0 años,44
Superficie total,90 m²,45
Superficie construida,90 m²,45
Recámaras,2,45
Baños,2,45
Estacionamientos,1,45
Bodegas,1,45
Antigüedad,7 años,45
Superficie total,136 m²,46
Superficie construida,136 m²,46
Baños,2,46
Bodegas,1,46
Superficie total,102 m²,47
Superficie construida,102 m²,47
Recámaras,1,47
Baños,2,47
Estacionamientos,2,47
Admite mascotas,Sí,47
Bodegas,1,47
Departamentos por piso,3,47
Disposición,Frente,47
Superficie total,12 m²,48
Superficie construida,12 m²,48
Baños,1,48
Superficie total,12 m²,49
Superficie construida,12 m²,49
Baños,1,49
Superficie total,125 m²,50
Superficie construida,125 m²,50
Antigüedad,25 años,50
Ambientes,1,50
Superficie total,70 m²,51
Superficie construida,70 m²,51
Recámaras,1,51
Baños,2,51
Estacionamientos,1,51
Superficie total,800 m²,52
Superficie construida,169 m²,52
Recámaras,3,52
Baños,3,52
Cantidad de pisos,2,52
Antigüedad,1 años,52
Superficie total,820 m²,53
Superficie construida,4200 m²,53
Estacionamientos,30,53
Baños,15,53
Baños por piso,2,53
Bodegas,4,53
Número de oficinas,33,53
Orientación,Oriente,53
Superficie total,95 m²,54
Superficie construida,95 m²,54
Recámaras,2,54
Baños,1,54
Estacionamientos,1,54
Admite mascotas,No,54
Superficie total,1053 m²,55
Superficie construida,93 m²,55
Recámaras,3,55
Baños,2,55
Estacionamientos,1,55
Bodegas,1,55
Cantidad de pisos,3,55
Número de piso de la unidad,1,55
Disposición,Interno,55
Orientación,Oriente,55
Antigüedad,15 años,55
Cuota mensual de mantenimiento,1500 MXN,55
Superficie total,12 m²,56
Superficie construida,12 m²,56
Baños,1,56
Baños por piso,1,56
Número de oficinas,7,56
Número de piso de la unidad,2,56
Oficinas por piso,1,56
Orientación,Norte,56
Disposición,Interno,56
Antigüedad,15 años,56
Cuota mensual de mantenimiento,600 MXN,56
Superficie total,132 m²,57
Superficie construida,95 m²,57
Recámaras,3,57
Baños,2,57
Estacionamientos,1,57
Cantidad de pisos,6,57
Departamentos por piso,1,57
Número de piso de la unidad,5,57
Disposición,Frente,57
Antigüedad,1 años,57
Superficie total,208 m²,58
Superficie construida,208 m²,58
Recámaras,3,58
Baños,2,58
Estacionamientos,1,58
Cantidad de pisos,10,58
Departamentos por piso,2,58
Número de piso de la unidad,1,58
Disposición,Frente,58
Orientación,Oriente,58
Cuota mensual de mantenimiento,1750 MXN,58
Superficie total,147 m²,59
Superficie construida,95 m²,59
Recámaras,3,59
Baños,2,59
Estacionamientos,1,59
Cantidad de pisos,6,59
Departamentos por piso,1,59
Número de piso de la unidad,6,59
Antigüedad,1 años,59
Superficie total,80 m²,60
Superficie construida,80 m²,60
Superficie total,65 m²,61
Superficie construida,65 m²,61
Ambientes,2,61
Recámaras,2,61
Baños,2,61
Estacionamientos,1,61
Superficie total,98 m²,62
Superficie construida,98 m²,62
Ambientes,2,62
Recámaras,2,62
Baños,2,62
Estacionamientos,2,62
Superficie total,130 m²,63
Superficie construida,130 m²,63
Ambientes,2,63
Recámaras,2,63
Baños,2,63
Estacionamientos,1,63
Superficie total,133.35 m²,64
Superficie construida,133.35 m²,64
Estacionamientos,1,64
Bodegas,1,64
Cuota mensual de mantenimiento,1550 MXN,64
Superficie total,89 m²,65
Superficie construida,89 m²,65
Baños,2,65
Antigüedad,0 años,65
Ambientes,2,65
Superficie total,168 m²,66
Superficie construida,154 m²,66
Ambientes,3,66
Recámaras,3,66
Baños,2,66
Estacionamientos,2,66
Tipo de departamento,Loft,66
Antigüedad,0 años,66
Cuota mensual de mantenimiento,0 MXN,66
Superficie total,114 m²,67
Superficie construida,62.47 m²,67
Recámaras,2,67
Baños,3,67
Estacionamientos,1,67
Superficie total,100 m²,68
Superficie construida,100 m²,68
Recámaras,2,68
Baños,2,68
Estacionamientos,1,68
Superficie total,69002 m²,69
Superficie construida,93000 m²,69
Recámaras,1,69
Baños,1,69
Cantidad de pisos,2,69
Número de piso de la unidad,2,69
Superficie total,85 m²,70
Superficie construida,85 m²,70
Recámaras,2,70
Baños,2,70
Estacionamientos,1,70
Admite mascotas,Sí,70
Bodegas,1,70
Número de piso de la unidad,5,70
Departamentos por piso,4,70
Cantidad de pisos,9,70
Antigüedad,1 años,70
Disposición,Interno,70
Orientación,Sur,70
Superficie total,200 m²,71
Superficie construida,200 m²,71
Ambientes,5,71
Recámaras,2,71
Baños,2,71
Estacionamientos,2,71
Antigüedad,8 años,71
Superficie total,58 m²,72
Superficie construida,58 m²,72
Estacionamientos,1,72
Baños,1,72
Número de oficinas,3,72
Número de piso de la unidad,7,72
Baños por piso,1,72
Cuota mensual de mantenimiento,3000 MXN,72
Superficie total,135 m²,73
Superficie construida,135 m²,73
Recámaras,2,73
Baños,2,73
Estacionamientos,1,73
Antigüedad,55 años,73
Superficie total,102 m²,74
Superficie construida,180 m²,74
Ambientes,1,74
Recámaras,3,74
Baños,2,74
Estacionamientos,2,74
Antigüedad,40 años,74
Superficie total,107 m²,75
Superficie construida,107 m²,75
Recámaras,2,75
Baños,2,75
Estacionamientos,1,75
Superficie total,284 m²,76
Superficie construida,284 m²,76
Recámaras,3,76
Baños,3,76
Estacionamientos,2,76
Antigüedad,2 años,76
Superficie total,114 m²,77
Superficie construida,114 m²,77
Recámaras,3,77
Baños,2,77
Estacionamientos,2,77
Disposición,Frente,77
Antigüedad,12 años,77
Cuota mensual de mantenimiento,4400 MXN,77
Superficie total,639 m²,78
Superficie construida,1050 m²,78
Antigüedad,82 años,78
Superficie total,100 m²,79
Superficie construida,100 m²,79
Ambientes,4,79
Recámaras,2,79
Baños,2,79
Estacionamientos,2,79
Antigüedad,0 años,79
Superficie total,110 m²,80
Superficie construida,110 m²,80
Ambientes,3,80
Recámaras,3,80
Baños,3,80
Estacionamientos,2,80
Superficie total,639 m²,81
Superficie construida,1050 m²,81
Antigüedad,82 años,81
Superficie total,90 m²,82
Superficie construida,90 m²,82
Recámaras,2,82
Baños,2,82
Estacionamientos,1,82
Cantidad de pisos,7,82
Departamentos por piso,2,82
Número de piso de la unidad,4,82
Disposición,Frente,82
Orientación,Sur,82
Antigüedad,3 años,82
Cuota mensual de mantenimiento,2680 MXN,82
Superficie total,270 m²,83
Superficie construida,100 m²,83
Recámaras,3,83
Baños,2,83
Estacionamientos,2,83
Cantidad de pisos,4,83
Departamentos por piso,3,83
Número de piso de la unidad,3,83
Disposición,Frente,83
Antigüedad,2 años,83
Superficie total,120 m²,84
Superficie construida,120 m²,84
Ambientes,2,84
Recámaras,2,84
Baños,2,84
Superficie total,166.25 m²,85
Superficie construida,166.25 m²,85
Recámaras,3,85
Baños,2,85
Estacionamientos,1,85
Cantidad de pisos,3,85
Departamentos por piso,1,85
Número de piso de la unidad,2,85
Antigüedad,30 años,85
Cuota mensual de mantenimiento,1048 MXN,85
Superficie total,180 m²,86
Superficie construida,160 m²,86
Recámaras,2,86
Baños,2,86
Estacionamientos,2,86
Cantidad de pisos,4,86
Departamentos por piso,3,86
Disposición,Interno,86
Antigüedad,2 años,86
Superficie total,97 m²,87
Superficie construida,97 m²,87
Ambientes,2,87
Recámaras,2,87
Baños,1,87
Estacionamientos,1,87
Superficie total,195 m²,88
Superficie construida,170 m²,88
Recámaras,3,88
Baños,3,88
Estacionamientos,2,88
Cantidad de pisos,4,88
Departamentos por piso,3,88
Disposición,Frente,88
Superficie total,60 m²,89
Superficie construida,60 m²,89
Ambientes,1,89
Recámaras,1,89
Baños,1,89
Estacionamientos,1,89
Superficie total,100 m²,90
Superficie construida,100 m²,90
Ambientes,2,90
Recámaras,2,90
Baños,1,90
Superficie total,144 m²,91
Superficie construida,144 m²,91
Recámaras,2,91
Baños,3,91
Estacionamientos,2,91
Antigüedad,1 años,91
Superficie total,122 m²,92
Superficie construida,122 m²,92
Ambientes,4,92
Recámaras,2,92
Baños,2,92
Estacionamientos,2,92
Antigüedad,5 años,92
Superficie total,96 m²,93
Superficie construida,96 m²,93
Recámaras,3,93
Baños,2,93
Estacionamientos,1,93
Antigüedad,10 años,93
Superficie total,65 m²,94
Superficie construida,65 m²,94
Ambientes,2,94
Recámaras,2,94
Baños,2,94
Estacionamientos,1,94
Antigüedad,11 años,94
Tipo de departamento,Loft,94
Orientación,Oeste,94
Cuota mensual de mantenimiento,0 MXN,94
Superficie total,96 m²,95
Superficie construida,96 m²,95
Recámaras,2,95
Baños,1,95
Estacionamientos,1,95
Antigüedad,10 años,95
Superficie total,211 m²,96
Superficie construida,211 m²,96
Ambientes,5,96
Recámaras,3,96
Baños,2,96
Estacionamientos,1,96
Antigüedad,0 años,96
Superficie total,211 m²,97
Superficie construida,211 m²,97
Ambientes,5,97
Recámaras,3,97
Baños,2,97
Estacionamientos,1,97
Antigüedad,0 años,97
Superficie total,146 m²,98
Superficie construida,146 m²,98
Ambientes,5,98
Recámaras,2,98
Baños,3,98
Estacionamientos,1,98
Antigüedad,0 años,98
Superficie total,168 m²,99
Superficie construida,168 m²,99
Recámaras,2,99
Baños,2,99
Estacionamientos,1,99
Antigüedad,2 años,99
Superficie total,146 m²,100
Superficie construida,146 m²,100
Ambientes,5,100
Recámaras,2,100
Baños,3,100
Estacionamientos,1,100
Antigüedad,0 años,100
Superficie total,192 m²,101
Superficie construida,192 m²,101
Ambientes,5,101
Recámaras,2,101
Baños,3,101
Estacionamientos,2,101
Antigüedad,0 años,101
Superficie total,600 m²,102
Superficie construida,600 m²,102
Estacionamientos,2,102
Baños,6,102
Antigüedad,0 años,102
Ambientes,6,102
Superficie total,600 m²,103
Superficie construida,600 m²,103
Estacionamientos,2,103
Baños,6,103
Antigüedad,0 años,103
Ambientes,6,103
Superficie total,168 m²,104
Superficie construida,118 m²,104
Recámaras,2,104
Baños,2,104
Estacionamientos,1,104
Antigüedad,2 años,104
Superficie total,26 m²,105
Superficie construida,26 m²,105
Antigüedad,0 años,105
Superficie total,208 m²,106
Superficie construida,208 m²,106
Recámaras,3,106
Baños,2,106
Estacionamientos,1,106
Superficie total,175 m²,107
Superficie construida,175 m²,107
Estacionamientos,1,107
Baños,2,107
Antigüedad,0 años,107
Ambientes,2,107
Superficie total,89 m²,108
Superficie construida,89 m²,108
Recámaras,2,108
Baños,2,108
Estacionamientos,2,108
Superficie total,112 m²,109
Superficie construida,112 m²,109
Ambientes,5,109
Recámaras,2,109
Baños,2,109
Estacionamientos,1,109
Antigüedad,4 años,109
Superficie total,211 m²,110
Superficie construida,212 m²,110
Ambientes,8,110
Recámaras,5,110
Baños,2,110
Antigüedad,0 años,110
Superficie total,112 m²,111
Superficie construida,112 m²,111
Ambientes,5,111
Recámaras,2,111
Baños,2,111
Estacionamientos,2,111
Antigüedad,0 años,111
Superficie total,93 m²,112
Superficie construida,93 m²,112
Recámaras,2,112
Baños,2,112
Estacionamientos,2,112
Disposición,Interno,112
Orientación,Oriente,112
Antigüedad,11 años,112
Cuota mensual de mantenimiento,0 MXN,112
