id,text,external_id
Superficie total,100 m²,533
Superficie construida,100 m²,533
Recámaras,2,533
Baños,2,533
Estacionamientos,1,533
Bodegas,1,533
Cantidad de pisos,1,533
Antigüedad,3 años,533
Superficie total,157 m²,534
Superficie construida,157 m²,534
Ambientes,7,534
Recámaras,3,534
Baños,3,534
Estacionamientos,2,534
Antigüedad,0 años,534
Superficie total,635 m²,535
Superficie construida,635 m²,535
Antigüedad,0 años,535
Superficie total,235 m²,536
Superficie construida,332 m²,536
Baños,2,536
Bodegas,1,536
Cantidad de pisos,2,536
Antigüedad,40 años,536
Superficie total,270 m²,537
Superficie construida,270 m²,537
Recámaras,3,537
Baños,2,537
Estacionamientos,2,537
Bodegas,1,537
Cantidad de pisos,1,537
Antigüedad,0 años,537
Superficie total,93 m²,538
Superficie construida,93 m²,538
Ambientes,4,538
Recámaras,2,538
Baños,2,538
Estacionamientos,2,538
Antigüedad,17 años,538
Superficie construida,121 m²,539
Recámaras,2,539
Baños,1,539
Estacionamientos,1,539
Cantidad de pisos,4,539
Antigüedad,0 años,539
Superficie total,86 m²,540
Superficie construida,86 m²,540
Recámaras,3,540
Baños,2,540
Estacionamientos,1,540
Bodegas,1,540
Cantidad de pisos,1,540
Antigüedad,34 años,540
Superficie total,120 m²,541
Superficie construida,120 m²,541
Ambientes,4,541
Recámaras,2,541
Baños,2,541
Antigüedad,52 años,541
Superficie total,290 m²,542
Superficie construida,290 m²,542
Recámaras,5,542
Baños,8,542
Antigüedad,5 años,542
Superficie total,93 m²,543
Recámaras,2,543
Baños,2,543
Estacionamientos,1,543
Antigüedad,0 años,543
Cuota mensual de mantenimiento,0 MXN,543
Superficie total,93 m²,544
Recámaras,2,544
Baños,2,544
Estacionamientos,1,544
Antigüedad,0 años,544
Cuota mensual de mantenimiento,0 MXN,544
Superficie total,93 m²,545
Recámaras,2,545
Baños,2,545
Antigüedad,0 años,545
Cuota mensual de mantenimiento,0 MXN,545
Superficie total,92 m²,546
Recámaras,2,546
Baños,2,546
Antigüedad,0 años,546
Cuota mensual de mantenimiento,0 MXN,546
Superficie total,78 m²,547
Recámaras,2,547
Baños,2,547
Antigüedad,0 años,547
Cuota mensual de mantenimiento,0 MXN,547
Superficie total,76 m²,548
Recámaras,2,548
Baños,2,548
Antigüedad,0 años,548
Cuota mensual de mantenimiento,0 MXN,548
Superficie total,74 m²,549
Recámaras,2,549
Baños,2,549
Antigüedad,0 años,549
Cuota mensual de mantenimiento,0 MXN,549
Superficie total,76 m²,550
Recámaras,2,550
Baños,2,550
Antigüedad,0 años,550
Cuota mensual de mantenimiento,0 MXN,550
Superficie total,99 m²,551
Recámaras,2,551
Baños,2,551
Estacionamientos,1,551
Antigüedad,0 años,551
Cuota mensual de mantenimiento,0 MXN,551
Superficie total,93 m²,552
Recámaras,2,552
Baños,2,552
Antigüedad,0 años,552
Cuota mensual de mantenimiento,0 MXN,552
Superficie total,93 m²,553
Recámaras,2,553
Baños,2,553
Antigüedad,0 años,553
Cuota mensual de mantenimiento,0 MXN,553
Superficie total,92 m²,554
Recámaras,2,554
Baños,2,554
Antigüedad,0 años,554
Cuota mensual de mantenimiento,0 MXN,554
Superficie total,92 m²,555
Recámaras,2,555
Baños,2,555
Antigüedad,0 años,555
Cuota mensual de mantenimiento,0 MXN,555
Superficie total,92 m²,556
Recámaras,2,556
Baños,2,556
Antigüedad,0 años,556
Cuota mensual de mantenimiento,0 MXN,556
Superficie total,74 m²,557
Recámaras,2,557
Baños,2,557
Antigüedad,0 años,557
Cuota mensual de mantenimiento,0 MXN,557
Superficie total,89 m²,558
Recámaras,2,558
Baños,2,558
Antigüedad,0 años,558
Cuota mensual de mantenimiento,0 MXN,558
Superficie total,89 m²,559
Recámaras,2,559
Baños,2,559
Antigüedad,0 años,559
Cuota mensual de mantenimiento,0 MXN,559
Superficie total,89 m²,560
Recámaras,2,560
Baños,2,560
Antigüedad,0 años,560
Cuota mensual de mantenimiento,0 MXN,560
Superficie total,84 m²,561
Recámaras,2,561
Baños,2,561
Antigüedad,0 años,561
Cuota mensual de mantenimiento,0 MXN,561
Superficie total,88 m²,562
Recámaras,2,562
Baños,2,562
Antigüedad,0 años,562
Cuota mensual de mantenimiento,0 MXN,562
Superficie total,78 m²,563
Recámaras,2,563
Baños,2,563
Antigüedad,0 años,563
Cuota mensual de mantenimiento,0 MXN,563
Superficie total,78 m²,564
Recámaras,2,564
Baños,2,564
Antigüedad,0 años,564
Cuota mensual de mantenimiento,0 MXN,564
Superficie total,78 m²,565
Recámaras,2,565
Baños,2,565
Antigüedad,0 años,565
Cuota mensual de mantenimiento,0 MXN,565
Superficie total,78 m²,566
Recámaras,2,566
Baños,2,566
Antigüedad,0 años,566
Cuota mensual de mantenimiento,0 MXN,566
Superficie total,78 m²,567
Recámaras,2,567
Baños,2,567
Antigüedad,0 años,567
Cuota mensual de mantenimiento,0 MXN,567
Superficie total,76 m²,568
Recámaras,2,568
Baños,2,568
Antigüedad,0 años,568
Cuota mensual de mantenimiento,0 MXN,568
Superficie total,78 m²,569
Recámaras,2,569
Baños,2,569
Antigüedad,0 años,569
Cuota mensual de mantenimiento,0 MXN,569
Superficie total,76 m²,570
Recámaras,2,570
Baños,2,570
Antigüedad,0 años,570
Cuota mensual de mantenimiento,0 MXN,570
Superficie total,76 m²,571
Recámaras,2,571
Baños,2,571
Antigüedad,0 años,571
Cuota mensual de mantenimiento,0 MXN,571
Superficie total,76 m²,572
Recámaras,2,572
Baños,2,572
Antigüedad,0 años,572
Cuota mensual de mantenimiento,0 MXN,572
Superficie total,76 m²,573
Recámaras,2,573
Baños,2,573
Antigüedad,0 años,573
Cuota mensual de mantenimiento,0 MXN,573
Superficie total,76 m²,574
Recámaras,2,574
Baños,2,574
Antigüedad,0 años,574
Cuota mensual de mantenimiento,0 MXN,574
Superficie total,76 m²,575
Recámaras,2,575
Baños,2,575
Antigüedad,0 años,575
Cuota mensual de mantenimiento,0 MXN,575
Superficie total,103 m²,576
Recámaras,2,576
Baños,2,576
Antigüedad,0 años,576
Cuota mensual de mantenimiento,0 MXN,576
Superficie total,76 m²,577
Recámaras,2,577
Baños,2,577
Antigüedad,0 años,577
Cuota mensual de mantenimiento,0 MXN,577
Superficie total,76 m²,578
Recámaras,2,578
Baños,2,578
Antigüedad,0 años,578
Cuota mensual de mantenimiento,0 MXN,578
Superficie total,86 m²,579
Recámaras,2,579
Baños,2,579
Antigüedad,0 años,579
Cuota mensual de mantenimiento,0 MXN,579
Superficie total,103 m²,580
Recámaras,2,580
Baños,2,580
Antigüedad,0 años,580
Cuota mensual de mantenimiento,0 MXN,580
Superficie total,86 m²,581
Recámaras,2,581
Baños,2,581
Antigüedad,0 años,581
Cuota mensual de mantenimiento,0 MXN,581
Superficie total,86 m²,582
Recámaras,2,582
Baños,2,582
Antigüedad,0 años,582
Cuota mensual de mantenimiento,0 MXN,582
Superficie total,86 m²,583
Recámaras,2,583
Baños,2,583
Estacionamientos,1,583
Antigüedad,0 años,583
Cuota mensual de mantenimiento,0 MXN,583
Superficie total,86 m²,584
Recámaras,2,584
Baños,2,584
Antigüedad,0 años,584
Cuota mensual de mantenimiento,0 MXN,584
Superficie total,45 m²,585
Superficie construida,45 m²,585
Baños,6,585
Antigüedad,0 años,585
Ambientes,6,585
Superficie total,129 m²,586
Superficie construida,129 m²,586
Recámaras,3,586
Baños,2,586
Estacionamientos,2,586
Antigüedad,0 años,586
Cuota mensual de mantenimiento,0 MXN,586
Superficie total,115 m²,587
Superficie construida,115 m²,587
Ambientes,4,587
Recámaras,2,587
Baños,2,587
Estacionamientos,1,587
Antigüedad,0 años,587
Superficie total,56 m²,588
Superficie construida,56 m²,588
Recámaras,1,588
Baños,1,588
Estacionamientos,1,588
Bodegas,1,588
Cantidad de pisos,1,588
Antigüedad,5 años,588
Superficie total,74 m²,589
Superficie construida,74 m²,589
Ambientes,4,589
Recámaras,2,589
Baños,2,589
Estacionamientos,1,589
Antigüedad,0 años,589
Superficie total,85 m²,590
Superficie construida,85 m²,590
Recámaras,2,590
Baños,2,590
Estacionamientos,2,590
Antigüedad,12 años,590
Superficie total,204 m²,591
Superficie construida,204 m²,591
Ambientes,4,591
Recámaras,2,591
Baños,2,591
Estacionamientos,2,591
Antigüedad,0 años,591
Superficie total,57 m²,592
Superficie construida,57 m²,592
Recámaras,1,592
Baños,1,592
Estacionamientos,1,592
Antigüedad,0 años,592
Cuota mensual de mantenimiento,0 MXN,592
Superficie construida,360 m²,593
Baños,5,593
Antigüedad,40 años,593
Superficie total,115 m²,594
Superficie construida,115 m²,594
Recámaras,2,594
Baños,2,594
Estacionamientos,1,594
Disposición,Frente,594
Orientación,Oriente,594
Antigüedad,10 años,594
Cuota mensual de mantenimiento,0 MXN,594
Superficie total,1 m²,595
Superficie construida,1 m²,595
Antigüedad,0 años,595
Superficie total,77 m²,596
Superficie construida,77 m²,596
Recámaras,2,596
Baños,2,596
Estacionamientos,1,596
Antigüedad,0 años,596
Cuota mensual de mantenimiento,0 MXN,596
Superficie total,275 m²,597
Superficie construida,487 m²,597
Recámaras,4,597
Baños,2,597
Estacionamientos,3,597
Antigüedad,96 años,597
Superficie total,1 m²,598
Superficie construida,1 m²,598
Antigüedad,0 años,598
Superficie total,183 m²,599
Superficie construida,183 m²,599
Ambientes,4,599
Recámaras,2,599
Baños,2,599
Estacionamientos,1,599
Antigüedad,0 años,599
Superficie total,164 m²,600
Superficie construida,164 m²,600
Recámaras,3,600
Baños,3,600
Estacionamientos,3,600
Antigüedad,0 años,600
Cuota mensual de mantenimiento,0 MXN,600
Superficie total,107 m²,601
Superficie construida,107 m²,601
Recámaras,2,601
Baños,2,601
Estacionamientos,2,601
Antigüedad,0 años,601
Cuota mensual de mantenimiento,0 MXN,601
Superficie total,820 m²,602
Superficie construida,4200 m²,602
Estacionamientos,30,602
Antigüedad,52 años,602
Superficie total,97 m²,603
Superficie construida,97 m²,603
Ambientes,4,603
Recámaras,2,603
Baños,2,603
Estacionamientos,2,603
Antigüedad,0 años,603
Superficie total,93 m²,604
Superficie construida,93 m²,604
Ambientes,4,604
Recámaras,2,604
Baños,2,604
Estacionamientos,1,604
Antigüedad,0 años,604
Superficie total,88 m²,605
Superficie construida,88 m²,605
Recámaras,2,605
Baños,1,605
Bodegas,1,605
Cantidad de pisos,1,605
Antigüedad,0 años,605
Superficie total,90 m²,606
Superficie construida,90 m²,606
Recámaras,2,606
Baños,2,606
Estacionamientos,1,606
Bodegas,1,606
Cantidad de pisos,1,606
Antigüedad,2 años,606
Superficie construida,150 m²,607
Recámaras,3,607
Baños,4,607
Estacionamientos,2,607
Superficie total,143 m²,608
Superficie construida,143 m²,608
Recámaras,3,608
Baños,3,608
Estacionamientos,2,608
Superficie total,68 m²,609
Superficie construida,68 m²,609
Estacionamientos,1,609
Antigüedad,10 años,609
Superficie total,41 m²,610
Superficie construida,41 m²,610
Recámaras,1,610
Baños,1,610
Superficie total,81 m²,611
Superficie construida,81 m²,611
Ambientes,4,611
Recámaras,2,611
Baños,2,611
Estacionamientos,1,611
Antigüedad,0 años,611
Superficie total,145 m²,612
Superficie construida,145 m²,612
Recámaras,3,612
Baños,3,612
Estacionamientos,1,612
Antigüedad,4 años,612
Superficie total,88 m²,613
Superficie construida,88 m²,613
Recámaras,2,613
Baños,1,613
Bodegas,1,613
Cantidad de pisos,1,613
Antigüedad,0 años,613
Superficie total,136 m²,614
Superficie construida,136 m²,614
Ambientes,6,614
Recámaras,3,614
Baños,3,614
Estacionamientos,2,614
Antigüedad,1 años,614
Superficie total,114 m²,615
Superficie construida,114 m²,615
Ambientes,4,615
Recámaras,2,615
Baños,2,615
Estacionamientos,1,615
Antigüedad,0 años,615
Superficie construida,100 m²,616
Recámaras,2,616
Baños,2,616
Estacionamientos,2,616
Bodegas,1,616
Cantidad de pisos,6,616
Antigüedad,10 años,616
Superficie total,100 m²,617
Superficie construida,100 m²,617
Recámaras,2,617
Baños,2,617
Estacionamientos,2,617
Antigüedad,0 años,617
Superficie total,97 m²,618
Superficie construida,97 m²,618
Ambientes,4,618
Recámaras,2,618
Baños,2,618
Estacionamientos,2,618
Antigüedad,0 años,618
Superficie total,97 m²,619
Superficie construida,97 m²,619
Ambientes,4,619
Recámaras,2,619
Baños,2,619
Estacionamientos,2,619
Antigüedad,0 años,619
Superficie total,1160 m²,620
Superficie construida,1160 m²,620
Antigüedad,11 años,620
Ambientes,4,620
Superficie total,114 m²,621
Superficie construida,114 m²,621
Ambientes,4,621
Recámaras,2,621
Baños,2,621
Estacionamientos,1,621
Antigüedad,11 años,621
Superficie total,91 m²,622
Superficie construida,91 m²,622
Recámaras,2,622
Baños,2,622
Cantidad de pisos,4,622
Superficie total,781 m²,623
Superficie construida,781 m²,623
Baños,6,623
Antigüedad,0 años,623
Ambientes,6,623
Superficie total,97 m²,624
Superficie construida,97 m²,624
Ambientes,4,624
Recámaras,2,624
Baños,2,624
Estacionamientos,2,624
Antigüedad,0 años,624
Superficie total,81 m²,625
Superficie construida,81 m²,625
Ambientes,4,625
Recámaras,2,625
Baños,2,625
Estacionamientos,1,625
Antigüedad,0 años,625
Superficie total,1 m²,626
Superficie construida,1 m²,626
Antigüedad,0 años,626
Superficie total,115 m²,627
Superficie construida,100 m²,627
Recámaras,2,627
Baños,2,627
Estacionamientos,2,627
Cantidad de pisos,6,627
Antigüedad,10 años,627
Superficie total,446 m²,628
Superficie construida,530 m²,628
Baños,8,628
Cantidad de pisos,3,628
Cuota mensual de mantenimiento,0 MXN,628
Superficie total,600 m²,629
Superficie construida,2300 m²,629
Baños,2,629
Número de piso de la unidad,5,629
Orientación,Norte,629
Disposición,Frente,629
Antigüedad,30 años,629
Superficie total,348 m²,630
Superficie construida,348 m²,630
Estacionamientos,2,630
Baños,2,630
Número de oficinas,8,630
Orientación,Oriente,630
Disposición,Frente,630
Antigüedad,40 años,630
Superficie total,83 m²,631
Superficie construida,83 m²,631
Ambientes,4,631
Recámaras,2,631
Baños,2,631
Estacionamientos,1,631
Antigüedad,0 años,631
Superficie total,78 m²,632
Superficie construida,78 m²,632
Ambientes,4,632
Recámaras,2,632
Baños,2,632
Estacionamientos,1,632
Antigüedad,0 años,632
Superficie total,74 m²,633
Superficie construida,74 m²,633
Ambientes,4,633
Recámaras,2,633
Baños,2,633
Estacionamientos,1,633
Antigüedad,0 años,633
Superficie total,93 m²,634
Superficie construida,93 m²,634
Ambientes,4,634
Recámaras,2,634
Baños,2,634
Estacionamientos,1,634
Antigüedad,0 años,634
Superficie total,97 m²,635
Superficie construida,97 m²,635
Recámaras,3,635
Baños,2,635
Estacionamientos,2,635
Antigüedad,7 años,635
Cuota mensual de mantenimiento,1 MXN,635
Superficie total,1925 m²,636
Superficie construida,1 m²,636
Antigüedad,0 años,636
Superficie total,485 m²,637
Superficie construida,485 m²,637
Estacionamientos,8,637
Antigüedad,0 años,637
Superficie total,1 m²,638
Superficie construida,1 m²,638
Antigüedad,0 años,638
Superficie total,124 m²,639
Superficie construida,124 m²,639
Ambientes,5,639
Recámaras,2,639
Baños,2,639
Estacionamientos,2,639
Superficie total,125 m²,640
Superficie construida,125 m²,640
Estacionamientos,1,640
Antigüedad,15 años,640
Superficie total,140 m²,641
Superficie construida,140 m²,641
Recámaras,3,641
Baños,2,641
Estacionamientos,1,641
Antigüedad,21 años,641
Superficie construida,24 m²,642
Baños,2,642
Antigüedad,50 años,642
Superficie total,109 m²,643
Superficie construida,604 m²,643
Estacionamientos,4,643
Antigüedad,50 años,643
Superficie construida,80 m²,644
Baños,1,644
Antigüedad,35 años,644
Superficie total,85 m²,645
Superficie construida,85 m²,645
Ambientes,3,645
Recámaras,1,645
Baños,1,645
Estacionamientos,2,645
Antigüedad,6 años,645
Superficie total,157 m²,646
Superficie construida,157 m²,646
Ambientes,4,646
Recámaras,2,646
Baños,2,646
Estacionamientos,1,646
Antigüedad,0 años,646
Superficie total,81 m²,647
Superficie construida,81 m²,647
Ambientes,4,647
Recámaras,2,647
Baños,2,647
Estacionamientos,1,647
Antigüedad,0 años,647
Superficie total,83 m²,648
Superficie construida,83 m²,648
Ambientes,4,648
Recámaras,2,648
Baños,2,648
Estacionamientos,1,648
Antigüedad,0 años,648
Superficie total,81 m²,649
Superficie construida,81 m²,649
Ambientes,4,649
Recámaras,2,649
Baños,2,649
Estacionamientos,1,649
Antigüedad,0 años,649
Superficie total,81 m²,650
Superficie construida,81 m²,650
Ambientes,4,650
Recámaras,2,650
Baños,2,650
Estacionamientos,1,650
Antigüedad,0 años,650
Superficie total,97 m²,651
Superficie construida,97 m²,651
Ambientes,4,651
Recámaras,2,651
Baños,2,651
Estacionamientos,1,651
Antigüedad,0 años,651
Superficie total,97 m²,652
Superficie construida,97 m²,652
Ambientes,4,652
Recámaras,2,652
Baños,2,652
Estacionamientos,1,652
Antigüedad,0 años,652
Superficie total,120 m²,653
Superficie construida,120 m²,653
Ambientes,4,653
Recámaras,2,653
Baños,2,653
Estacionamientos,1,653
Antigüedad,0 años,653
Superficie total,151 m²,654
Superficie construida,545 m²,654
Estacionamientos,1,654
Bodegas,1,654
Antigüedad,34 años,654
Superficie total,90 m²,655
Superficie construida,90 m²,655
Ambientes,4,655
Recámaras,2,655
Baños,2,655
Estacionamientos,2,655
Antigüedad,13 años,655
Superficie total,131 m²,656
Superficie construida,131 m²,656
Ambientes,4,656
Recámaras,2,656
Baños,2,656
Estacionamientos,1,656
Antigüedad,0 años,656
Superficie total,150 m²,657
Superficie construida,150 m²,657
Ambientes,4,657
Recámaras,2,657
Baños,2,657
Estacionamientos,1,657
Antigüedad,0 años,657
Superficie total,183 m²,658
Superficie construida,183 m²,658
Ambientes,4,658
Recámaras,2,658
Baños,2,658
Estacionamientos,1,658
Antigüedad,0 años,658
Superficie total,97 m²,659
Superficie construida,97 m²,659
Ambientes,4,659
Recámaras,2,659
Baños,2,659
Estacionamientos,1,659
Antigüedad,0 años,659
Superficie total,81 m²,660
Superficie construida,81 m²,660
Ambientes,4,660
Recámaras,2,660
Baños,2,660
Estacionamientos,1,660
Antigüedad,0 años,660
Superficie total,97 m²,661
Superficie construida,97 m²,661
Ambientes,4,661
Recámaras,2,661
Baños,2,661
Estacionamientos,1,661
Antigüedad,0 años,661
Superficie total,78 m²,662
Superficie construida,78 m²,662
Ambientes,4,662
Recámaras,2,662
Baños,2,662
Estacionamientos,1,662
Antigüedad,0 años,662
Superficie total,97 m²,663
Superficie construida,97 m²,663
Ambientes,4,663
Recámaras,2,663
Baños,2,663
Estacionamientos,1,663
Antigüedad,0 años,663
Superficie total,81 m²,664
Superficie construida,81 m²,664
Ambientes,4,664
Recámaras,2,664
Baños,2,664
Estacionamientos,1,664
Antigüedad,0 años,664
Superficie total,83 m²,665
Superficie construida,83 m²,665
Ambientes,4,665
Recámaras,2,665
Baños,2,665
Estacionamientos,1,665
Antigüedad,0 años,665
Superficie total,81 m²,666
Superficie construida,81 m²,666
Ambientes,4,666
Recámaras,2,666
Baños,2,666
Estacionamientos,1,666
Antigüedad,0 años,666
Superficie total,74 m²,667
Superficie construida,74 m²,667
Ambientes,4,667
Recámaras,2,667
Baños,2,667
Estacionamientos,1,667
Antigüedad,0 años,667
Superficie total,97 m²,668
Superficie construida,97 m²,668
Ambientes,4,668
Recámaras,2,668
Baños,2,668
Estacionamientos,1,668
Antigüedad,0 años,668
Superficie total,78 m²,669
Superficie construida,78 m²,669
Ambientes,4,669
Recámaras,2,669
Baños,2,669
Estacionamientos,1,669
Antigüedad,0 años,669
Superficie total,97 m²,670
Superficie construida,97 m²,670
Ambientes,4,670
Recámaras,2,670
Baños,2,670
Estacionamientos,1,670
Antigüedad,0 años,670
Superficie total,81 m²,671
Superficie construida,81 m²,671
Ambientes,4,671
Recámaras,2,671
Baños,2,671
Estacionamientos,1,671
Antigüedad,0 años,671
Superficie total,83 m²,672
Superficie construida,83 m²,672
Ambientes,4,672
Recámaras,2,672
Baños,2,672
Estacionamientos,1,672
Antigüedad,0 años,672
Superficie total,81 m²,673
Superficie construida,81 m²,673
Ambientes,4,673
Recámaras,2,673
Baños,2,673
Estacionamientos,1,673
Antigüedad,0 años,673
Superficie total,78 m²,674
Superficie construida,78 m²,674
Ambientes,4,674
Recámaras,2,674
Baños,2,674
Estacionamientos,1,674
Antigüedad,0 años,674
Superficie total,97 m²,675
Superficie construida,97 m²,675
Ambientes,4,675
Recámaras,2,675
Baños,2,675
Estacionamientos,2,675
Antigüedad,0 años,675
Superficie total,83 m²,676
Superficie construida,83 m²,676
Ambientes,4,676
Recámaras,2,676
Baños,2,676
Estacionamientos,1,676
Antigüedad,0 años,676
Superficie total,81 m²,677
Superficie construida,81 m²,677
Ambientes,4,677
Recámaras,2,677
Baños,2,677
Estacionamientos,1,677
Antigüedad,0 años,677
Superficie total,81 m²,678
Superficie construida,81 m²,678
Ambientes,4,678
Recámaras,2,678
Baños,2,678
Estacionamientos,1,678
Antigüedad,0 años,678
Superficie total,81 m²,679
Superficie construida,81 m²,679
Ambientes,4,679
Recámaras,2,679
Baños,2,679
Estacionamientos,1,679
Antigüedad,0 años,679
Superficie total,97 m²,680
Superficie construida,97 m²,680
Ambientes,4,680
Recámaras,2,680
Baños,2,680
Estacionamientos,2,680
Antigüedad,0 años,680
Superficie total,78 m²,681
Superficie construida,78 m²,681
Ambientes,4,681
Recámaras,2,681
Baños,2,681
Estacionamientos,1,681
Antigüedad,0 años,681
Superficie total,97 m²,682
Superficie construida,97 m²,682
Ambientes,4,682
Recámaras,2,682
Baños,2,682
Estacionamientos,2,682
Antigüedad,0 años,682
Superficie total,102 m²,683
Superficie construida,102 m²,683
Ambientes,4,683
Recámaras,2,683
Baños,2,683
Estacionamientos,1,683
Antigüedad,0 años,683
Superficie total,102 m²,684
Superficie construida,102 m²,684
Ambientes,4,684
Recámaras,2,684
Baños,2,684
Estacionamientos,1,684
Antigüedad,0 años,684
Superficie total,119 m²,685
Superficie construida,119 m²,685
Ambientes,4,685
Recámaras,2,685
Baños,2,685
Estacionamientos,1,685
Antigüedad,0 años,685
Superficie total,83 m²,686
Superficie construida,83 m²,686
Ambientes,4,686
Recámaras,2,686
Baños,2,686
Estacionamientos,1,686
Antigüedad,0 años,686
Superficie total,93 m²,687
Superficie construida,93 m²,687
Ambientes,4,687
Recámaras,2,687
Baños,2,687
Estacionamientos,1,687
Antigüedad,0 años,687
Superficie total,85 m²,688
Superficie construida,85 m²,688
Ambientes,4,688
Recámaras,2,688
Baños,2,688
Estacionamientos,1,688
Antigüedad,0 años,688
Superficie total,1 m²,689
Superficie construida,1 m²,689
Antigüedad,0 años,689
Superficie total,1 m²,690
Superficie construida,1 m²,690
Antigüedad,0 años,690
Superficie total,96.5 m²,691
Superficie construida,96.5 m²,691
Recámaras,2,691
Baños,2,691
Cantidad de pisos,2,691
Antigüedad,0 años,691
Superficie construida,39 m²,692
Baños,1,692
Estacionamientos,1,692
Número de piso de la unidad,4,692
Antigüedad,0 años,692
Superficie total,577 m²,693
Superficie construida,996 m²,693
Antigüedad,40 años,693
Superficie total,90 m²,694
Superficie construida,90 m²,694
Recámaras,2,694
Baños,2,694
Superficie total,466 m²,695
Superficie construida,2196 m²,695
Estacionamientos,10,695
Antigüedad,0 años,695
Superficie total,485 m²,696
Superficie construida,485 m²,696
Antigüedad,20 años,696
Superficie total,158 m²,697
Superficie construida,158 m²,697
Recámaras,2,697
Baños,2,697
Estacionamientos,2,697
Antigüedad,-1 años,697
Superficie total,284 m²,698
Superficie construida,284 m²,698
Recámaras,3,698
Baños,3,698
Estacionamientos,2,698
Antigüedad,1 años,698
Superficie total,90 m²,699
Superficie construida,90 m²,699
Baños,1,699
Baños por piso,2,699
Bodegas,1,699
Número de oficinas,8,699
Número de piso de la unidad,4,699
Oficinas por piso,2,699
Orientación,Norte,699
Disposición,Frente,699
Antigüedad,10 años,699
Cuota mensual de mantenimiento,100 MXN,699
Superficie total,98 m²,700
Superficie construida,98 m²,700
Ambientes,4,700
Recámaras,2,700
Baños,2,700
Estacionamientos,1,700
Antigüedad,0 años,700
Superficie total,2109 m²,701
Superficie construida,2109 m²,701
Antigüedad,0 años,701
Superficie total,51 m²,702
Superficie construida,51 m²,702
Recámaras,2,702
Baños,2,702
Superficie total,160 m²,703
Superficie construida,160 m²,703
Ambientes,4,703
Recámaras,2,703
Baños,2,703
Estacionamientos,2,703
Antigüedad,0 años,703
Superficie construida,162 m²,704
Recámaras,3,704
Baños,2,704
Cantidad de pisos,4,704
Superficie total,86 m²,705
Superficie construida,86 m²,705
Recámaras,3,705
Baños,2,705
Estacionamientos,1,705
Bodegas,1,705
Cantidad de pisos,1,705
Antigüedad,1 años,705
Superficie construida,173 m²,706
Recámaras,3,706
Baños,2,706
Estacionamientos,2,706
Bodegas,1,706
Cantidad de pisos,7,706
Antigüedad,1 años,706
Superficie total,97 m²,707
Superficie construida,97 m²,707
Ambientes,4,707
Recámaras,2,707
Baños,2,707
Estacionamientos,1,707
Antigüedad,0 años,707
Superficie total,107 m²,708
Superficie construida,107 m²,708
Recámaras,3,708
Baños,2,708
Estacionamientos,1,708
Bodegas,1,708
Número de piso de la unidad,1,708
Disposición,Frente,708
Superficie total,70 m²,709
Superficie construida,70 m²,709
Recámaras,2,709
Baños,2,709
Cantidad de pisos,5,709
Superficie total,190 m²,710
Superficie construida,190 m²,710
Recámaras,3,710
Baños,3,710
Estacionamientos,2,710
Antigüedad,0 años,710
Superficie construida,580 m²,711
Superficie construida,200 m²,712
Antigüedad,11 años,712
Superficie total,100 m²,713
Superficie construida,100 m²,713
Recámaras,2,713
Baños,2,713
Estacionamientos,1,713
Bodegas,1,713
Cantidad de pisos,5,713
Antigüedad,40 años,713
Superficie total,56 m²,714
Superficie construida,56 m²,714
Recámaras,2,714
Baños,2,714
Estacionamientos,1,714
Antigüedad,21 años,714
Superficie construida,290 m²,715
Baños,8,715
Antigüedad,5 años,715
Superficie total,270 m²,716
Superficie construida,270 m²,716
Recámaras,3,716
Baños,2,716
Estacionamientos,2,716
Antigüedad,0 años,716
Superficie construida,123 m²,717
Recámaras,2,717
Baños,2,717
Estacionamientos,2,717
Bodegas,1,717
Cantidad de pisos,6,717
Antigüedad,5 años,717
Cuota mensual de mantenimiento,2300 MXN,717
Superficie total,781 m²,718
Superficie construida,781 m²,718
Baños,6,718
Antigüedad,0 años,718
Ambientes,6,718
Superficie total,95 m²,719
Superficie construida,95 m²,719
Recámaras,2,719
Baños,2,719
Estacionamientos,2,719
Antigüedad,4 años,719
Superficie total,42 m²,720
Superficie construida,42 m²,720
Recámaras,1,720
Baños,1,720
Antigüedad,41 años,720
Superficie total,80 m²,721
Superficie construida,80 m²,721
Antigüedad,0 años,721
Ambientes,1,721
Superficie total,1 m²,722
Superficie construida,1 m²,722
Baños,2,722
Antigüedad,0 años,722
Ambientes,2,722
Superficie total,60 m²,723
Superficie construida,60 m²,723
Ambientes,2,723
Recámaras,1,723
Baños,1,723
Estacionamientos,1,723
Superficie construida,290 m²,724
Antigüedad,5 años,724
Superficie total,180 m²,725
Superficie construida,180 m²,725
Recámaras,2,725
Baños,3,725
Bodegas,1,725
Cantidad de pisos,1,725
Antigüedad,0 años,725
Superficie total,153 m²,726
Superficie construida,153 m²,726
Estacionamientos,3,726
Antigüedad,40 años,726
Cuota mensual de mantenimiento,4260 MXN,726
Superficie total,160 m²,727
Superficie construida,160 m²,727
Recámaras,2,727
Baños,2,727
Estacionamientos,2,727
Bodegas,1,727
Cantidad de pisos,1,727
Antigüedad,0 años,727
Superficie construida,2300 m²,728
Baños,2,728
Bodegas,1,728
Antigüedad,10 años,728
Superficie total,100 m²,729
Superficie construida,100 m²,729
Recámaras,3,729
Baños,3,729
Estacionamientos,1,729
Antigüedad,0 años,729
