link,price,lowest_price,highest_price,id
/propiedades/venta-de-departamento-en-la-roma-norte-63010116.html,"MN 15,200,000",,,69
/propiedades/departamento-en-roma-norte-con-2-recamaras-id:-41507.-62350554.html,"MN 8,250,000",,,70
/propiedades/exclusivo-pent-house-en-col.-roma-norte-62277339.html,"MN 15,000,000",,,71
/propiedades/departamento-roma-norte-62811971.html,"MN 8,770,000",,,72
/propiedades/departamento-en-venta-en-roma-norte-con-excelente-62365547.html,"MN 7,500,000",,,73
/propiedades/departamento-en-venta-en-el-corazon-de-la-roma-norte.-63131252.html,"MN 4,650,000",,,74
/propiedades/icon-roma-62267737.html,"MN 4,288,688",,,75
/propiedades/departamento-en-roma-norte-con-3-recamaras-id:-41505.-62350552.html,"MN 9,305,538",,,76
/propiedades/departamento-en-la-mejor-zona-de-la-colonia-roma-norte-59277249.html,"MN 5,985,000",,,77
/propiedades/departamento-en-la-colonia-roma-norte-62107033.html,"MN 4,100,000",,,78
/propiedades/departamento-en-venta-con-2-recamaras-en-roma-norte-63156131.html,"MN 6,853,400",,,79
/propiedades/venta-departamento-en-roma-norte-63302938.html,"MN 5,200,000",,,80
/propiedades/departamento-en-venta-con-1-recamara-en-roma-norte-62157520.html,"MN 5,257,500",,,81
/propiedades/departamento-en-venta-en-cuauhtemoc-cdmx-61011170.html,"MN 4,490,000",,,82
/propiedades/departamento-en-venta-de-1-recamaras-en-insurgentes-63156203.html,"MN 3,135,000",,,83
/propiedades/loft-en-venta-en-insurgentes-63156279.html,"MN 4,321,857",,,84
/propiedades/departamento-en-venta-en-la-roma-con-terraza-63002854.html,"MN 4,800,000",,,85
/propiedades/departamento-pent-house-nuevo-en-venta-en-colonia-roma-62515222.html,"MN 7,690,640",,,86
/propiedades/departamento-tipo-loft-en-col.-roma-62712030.html,"MN 7,150,000",,,87
/propiedades/gh-en-chihuahua-amueblado-o-sin-muebles-3-recamaras-58241125.html,"MN 9,500,000",,,88
/propiedades/departamento-venta-62928913.html,"MN 3,300,000",,,89
/propiedades/preventa-exclusiva-terraloza-roma-norte-63113707.html,"MN 4,264,000",,,90
/propiedades/magnifico-departamento-con-roof-garden-privado-en-el-63031527.html,"MN 13,000,000",,,91
/propiedades/departamento-a-estrenar-en-col-roma-62665080.html,"MN 4,150,000",,,92
/propiedades/moderno-y-amplio-garden-house-nuevo-57758118.html,"MN 13,300,000",,,93
/propiedades/venta-departamento-1-a-2-rec-roma-nte-cdmx-60307062.html,"MN 2,972,500",,,94
/propiedades/venta-roma-norte-63055323.html,"MN 5,328,000",,,95
/propiedades/departamento-en-venta-en-la-colonia-roma-norte-61789560.html,"MN 9,800,000",,,96
/propiedades/ph-en-venta-roma-norte.-61051033.html,"MN 9,350,000",,,97
/propiedades/departamento-amueblado-roma-norte-puebla-63324076.html,"MN 4,500,000",,,98
/propiedades/venta-depto-zacatecas-61087076.html,"MN 13,000,000",,,99
/propiedades/departamento-venta-60655187.html,"MN 2,680,000",,,100
/propiedades/departamento-en-venta-en-tonala-roma-norte-para-63010131.html,"MN 8,550,000",,,101
/propiedades/excelente-departamento-recien-remodelado-en-venta-en-62424401.html,"MN 5,300,000",,,102
/propiedades/preventa-exclusiva-terraloza-roma-norte-63113705.html,"MN 3,912,000",,,103
/propiedades/solo-12-departamentos.-ultimos-3-penthuoses-en-la-60459993.html,"MN 8,090,640",,,104
/propiedades/departamento-en-venta-en-col.-roma-norte-cuauhtemoc-62873335.html,"MN 8,200,000",,,105
/propiedades/venta-departamento-roma-norte-durango-cibeles-61773484.html,"MN 5,600,000",,,106
/propiedades/garden-house-en-venta.-colonia-roma.-63225464.html,"MN 6,150,000",,,107
/propiedades/acogedor-departamento-en-pre-venta-en-roma-norte-62653279.html,"MN 3,155,000",,,108
/propiedades/preventa-depto.-chapultepec-62658703.html,"MN 2,400,000",,,109
/propiedades/departamento-en-venta-roma-norte-55865775.html,"MN 10,300,000",,,110
/propiedades/se-vende-departamento-colonia-roma-norte-cdmx-62279416.html,"MN 4,600,000",,,111
/propiedades/en-venta-departamento-col.-roma-62314109.html,"MN 2,100,000",,,112
/propiedades/departamento-en-venta-cerca-del-parque-espana-condesa-61873865.html,"MN 11,800,000",,,113
/propiedades/departamento-venta-60092127.html,"MN 5,400,000",,,114
/propiedades/departamento-venta-63304162.html,"MN 2,800,000",,,115
/propiedades/departamento-en-venta-col.-roma-62314104.html,"MN 2,000,000",,,116
/propiedades/depa-de-lujo-en-pre-venta-en-roma-norte-62653046.html,"MN 4,472,000",,,117
/propiedades/departamento-en-pre-venta-roma-norte-63129949.html,"MN 3,275,000",,,118
/propiedades/venta-ph-en-col.-roma-norte-63139530.html,"MN 6,960,000",,,119
/propiedades/precioso-departamento-en-la-roma-63212626.html,"MN 5,200,000",,,120
/propiedades/departamento-exterior-terrazas-108-m-sup2--15-62993611.html,"MN 6,950,000",,,121
/propiedades/preventa-san-luis-potosi-roma-62403597.html,"MN 7,463,773",,,122
/propiedades/garden-house-en-roma-norte-en-venta-60484188.html,"MN 14,148,523",,,123
/propiedades/clasico-departamento-renovado-en-roma-norte-61187889.html,"MN 4,943,000",,,124
/propiedades/depa-de-lujo-en-pre-venta-en-roma-norte-62653046.html,"MN 4,472,000",,,125
/propiedades/excelente-departamento-recien-remodelado-en-venta-en-62424401.html,"MN 5,300,000",,,126
/propiedades/departamento-en-venta-roma-norte-61579226.html,"MN 6,300,000",,,127
/propiedades/departamento-en-venta-roma-norte-56807522.html,"MN 6,000,000",,,128
/propiedades/departamento-exclusivo-en-la-roma-norte-63222090.html,"MN 4,648,000",,,129
/propiedades/venta-depto-zacatecas-61087076.html,"MN 13,000,000",,,130
/propiedades/departamento-en-venta-en-la-colonia-roma-norte-61789560.html,"MN 9,800,000",,,131
/propiedades/depa-de-lujo-de-37-m-sup2--en-pre-venta-en-roma-norte-62653060.html,"MN 3,922,000",,,132
/propiedades/vendo-departamento-en-la-calle-de-cordoba-col.-roma-62470363.html,"MN 4,495,000",,,133
/propiedades/departamento-roma-norte-59805571.html,"MN 4,460,000",,,134
/propiedades/departamento-de-2-niveles-en-la-roma-norte-63196045.html,"MN 5,990,000",,,135
/propiedades/departamento-venta-62436046.html,"MN 2,350,000",,,136
/propiedades/gh-en-chihuahua-amueblado-o-sin-muebles-3-recamaras-58241125.html,"MN 9,500,000",,,137
/propiedades/departamento-en-venta-en-col.-roma-norte-cuauhtemoc-62873335.html,"MN 8,200,000",,,138
/propiedades/venta-departamento-col.-roma-norte-63121429.html,"MN 4,650,000",,,139
/propiedades/roma-norte-hermoso-departamento-59029579.html,"MN 5,200,000",,,140
/propiedades/ph-en-venta-roma-norte-cuauhtemoc-61207042.html,"MN 14,700,000",,,141
/propiedades/venta-depto-zacatecas-61087076.html,"MN 13,000,000",,,142
/propiedades/departamento-con-terraza-privada-de-venta-en-la-roma-62518479.html,"MN 4,250,000",,,143
/propiedades/excelente-oportunidad-de-inversion-en-roma-norte-62391027.html,"MN 4,480,000",,,144
/propiedades/excelente-departamento-recien-remodelado-en-venta-en-62424401.html,"MN 5,300,000",,,145
/propiedades/garden-house-en-roma-norte-en-venta-60484188.html,"MN 14,148,523",,,146
/propiedades/preventa-departamento-a-unas-cuadras-de-roma-norte-61012477.html,"MN 5,350,000",,,147
/propiedades/departamento-venta-63035440.html,"MN 2,990,000",,,148
/propiedades/unico-departamento!-en-la-roma-con-patio-y-recien-62213010.html,"MN 5,500,000",,,149
/propiedades/cuauhtemoc-roma-norte-departamento-en-venta-como-nuevo-63259722.html,"MN 5,790,000",,,150
/propiedades/departamento-en-venta-roma-norte-55865775.html,"MN 10,300,000",,,151
/propiedades/penthouse-con-terraza-y-roof-en-venta-en-la-roma-norte-62518475.html,"MN 4,812,500",,,152
/propiedades/departamento-en-pre-venta-roma-norte-63129949.html,"MN 3,275,000",,,153
/propiedades/hermoso-departamento-en-venta-av-chapultepec-246-roma-63042616.html,"MN 3,600,000",,,154
/propiedades/departamento-en-venta-roma-norte-61579226.html,"MN 6,300,000",,,155
/propiedades/gh-en-chihuahua-amueblado-o-sin-muebles-3-recamaras-58241125.html,"MN 9,500,000",,,156
/propiedades/departamento-encantador-estilo-eclectico-61634160.html,"MN 4,996,100",,,157
/propiedades/departamento-en-venta-en-una-de-la-mejores-calles-de-62805818.html,"MN 4,800,000",,,158
/propiedades/venta-departamento-en-colonia-roma-60489548.html,"MN 3,150,000",,,159
/propiedades/departamento-con-jardin-de-venta-en-la-roma-cuauhtemoc-62518487.html,"MN 4,320,000",,,160
/propiedades/venta-ph-en-col.-roma-norte-63139530.html,"MN 6,960,000",,,161
/propiedades/excelente-oportunidad-de-inversion-en-roma-norte-62391027.html,"MN 4,480,000",,,162
/propiedades/venta-de-loft-col.-roma-norte-62781350.html,"MN 3,350,000",,,163
/propiedades/tabasco-154-roma-norte-59343146.html,"MN 13,540,429",,,164
/propiedades/preventa-departamento-en-veracruz-condesa-roma-58802979.html,"MN 4,289,400",,,165
/propiedades/departamento-venta-62928913.html,"MN 3,300,000",,,166
/propiedades/departamento-venta-63035440.html,"MN 2,990,000",,,167
/propiedades/rento-departamento-61815432.html,"MN 4,500,000",,,168
/propiedades/departamento-con-terraza-privada-de-venta-en-la-roma-62518500.html,"MN 3,840,000",,,169
/propiedades/venta-roma-norte-63054854.html,"MN 3,450,000",,,170
/propiedades/departamento-venta-60655187.html,"MN 2,680,000",,,171
/propiedades/departamento-a-estrenar-en-col-roma-62665080.html,"MN 4,150,000",,,172
