main_name|subtitle|link|location|price|attributes|id|address|lat|lon|since
Venta Departamento Remodelado Roma Norte Baja De Precio!!|Departamento en venta|https://departamento.metroscubicos.com/MLM-1358541533-venta-departamento-remodelado-roma-norte-baja-de-precio-_JM#position=14&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Guanajuato, Roma Norte, Cuauhtémoc, Distrito Federal|2750000 pesos|68 m² construidos,2 recs.|14|Guanajuato|19.39068|-99.2836995|Publicado hace 54 días
Departamento En Roma Norte, Cuauhtémoc Con 2 Recámaras, 146 M², Id: 56344|Departamento en venta|https://departamento.metroscubicos.com/MLM-1375823469-departamento-en-roma-norte-cuauhtemoc-con-2-recamaras-146-m-id-56344-_JM#position=15&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Avenida Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal|7425000 pesos|146 m² construidos,2 recs.|15|Avenida Chapultepec|19.39068|-99.2836995|
Departamento En Roma Norte, Cuauhtémoc Con 2 Recámaras, 90 M², Id: 56425|Departamento en venta|https://departamento.metroscubicos.com/MLM-1375804613-departamento-en-roma-norte-cuauhtemoc-con-2-recamaras-90-m-id-56425-_JM#position=16&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal|5600000 pesos|90 m² construidos,2 recs.|16|San Luis Potosí|19.39068|-99.2836995|
Departamento Cerca De Metro Insurgentes Y Av Cuauhtémoc|Departamento en renta|https://departamento.metroscubicos.com/MLM-1359412176-departamento-cerca-de-metro-insurgentes-y-av-cuauhtemoc-_JM#position=17&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Colima 46, Roma Norte, Cuauhtémoc, Distrito Federal|22000 pesos|120 m² construidos,2 recs.|17|Colima 46|19.39068|-99.2836995|Publicado hace 3 meses
Local Nuevo En Ubicación Perfecta En Colonia Roma Norte - Opción A Duplicar Área|Local comercial en venta|https://inmueble.metroscubicos.com/MLM-1375640343-local-nuevo-en-ubicacion-perfecta-en-colonia-roma-norte-opcion-a-duplicar-area-_JM#position=18&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Av. Eje 2 Sur (queretaro) 90, Roma Nte., Cuauhtémoc, 06700 Ciudad De México, Cdmx, Mexico, Roma Norte, Cuauhtémoc, Distrito Federal|3998000 pesos|34 m² construidos|18|Av. Eje 2 Sur (queretaro) 90, Roma Nte., Cuauhtémoc, 06700 Ciudad De México, Cdmx, Mexico|19.39068|-99.2836995|Publicado hace 49 días
2799 Guanajuato, Roma Norte|Departamento en venta|https://departamento.metroscubicos.com/MLM-1317159822-2799-guanajuato-roma-norte-_JM#position=19&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Guanajuato, Roma Norte, Cuauhtémoc, Distrito Federal|6000000 pesos|100 m² construidos,2 recs.|19|Guanajuato|19.39068|-99.2836995|
662 San Luis Potosí, Roma Norte|Departamento en venta|https://departamento.metroscubicos.com/MLM-1317159575-662-san-luis-potosi-roma-norte-_JM#position=20&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal|5900000 pesos|115 m² construidos,3 recs.|20|San Luis Potosí|19.39068|-99.2836995|
3320 Coahuila, Roma Norte|Departamento en venta|https://departamento.metroscubicos.com/MLM-1317108270-3320-coahuila-roma-norte-_JM#position=21&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Coahuila, Roma Norte, Cuauhtémoc, Distrito Federal|4690000 pesos|70 m² construidos,1 rec.|21|Coahuila|19.39068|-99.2836995|
Departamento En Venta En Roma Norte|Departamento en venta|https://departamento.metroscubicos.com/MLM-927094347-departamento-en-venta-en-roma-norte-_JM#position=22&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Cerrada Salamanca 73, Roma Norte, Cuauhtémoc, Distrito Federal|4200000 pesos|95 m² construidos,2 recs.|22|Cerrada Salamanca 73|19.39068|-99.2836995|Publicado hace 2 años
Departamento En Venta Calle Tonalá 122 Colonia Roma|Departamento en venta|https://departamento.metroscubicos.com/MLM-1359190040-departamento-en-venta-calle-tonala-122-colonia-roma-_JM#position=23&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Tonala 122, Roma Norte, Cuauhtémoc, Distrito Federal|2800000 pesos|81 m² construidos,3 recs.|23|Tonala 122|19.39068|-99.2836995|Publicado hace 1 año
Espléndido Departamento En La Roma|Departamento en renta|https://departamento.metroscubicos.com/MLM-1356010656-esplendido-departamento-en-la-roma-_JM#position=24&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Zacatecas 65, Roma Norte, Cuauhtémoc, Distrito Federal|21500 pesos|95 m² construidos,3 recs.|24|Zacatecas 65|19.39068|-99.2836995|Publicado hace 4 meses
