main_name,location,id,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final,source,geometry,index_right,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,Ambito
Departamento En Venta Roma Norte,"Snsn, Roma Norte, Cuauhtémoc, Distrito Federal",1231,depto,venta,32.0,19.419526,-99.162549,1.0,,1.0,0.0,54.0,0.0,4321857.0,metros_cubicos,POINT (-99.162549 19.419526),12699,0901500011002,09,015,0001,1002,Urbana
"Departamento En Venta, Roma Norte, Av. Insurgentes (706)","Av. Insurgentes, Cuauhtémoc, Distrito Federal",1232,depto,venta,2.0,19.417484,-99.164558,1.0,1.0,1.0,0.0,63.0,0.0,5514028.0,metros_cubicos,POINT (-99.164558 19.417484),12699,0901500011002,09,015,0001,1002,Urbana
"Departamento En Venta, Roma Norte, Av. Insurgentes (717)","Av. Insurgentes, Cuauhtémoc, Distrito Federal",1233,depto,venta,2.0,19.417484,-99.164558,1.0,1.0,1.0,0.0,38.0,0.0,3325922.0,metros_cubicos,POINT (-99.164558 19.417484),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En 22840ru,"Roma Norte, Cuauhtémoc, Distrito Federal",1235,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,60.0,60.0,0.0,4296668.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Cuauhtemoc Roma Norte 211909isg,"Roma Norte, Cuauhtémoc, Distrito Federal",1236,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,2.0,71.0,71.0,0.0,4455000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Calle Zacatecas Roma Norte 211905rt,"Roma Norte, Cuauhtémoc, Distrito Federal",1241,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,2.0,72.0,72.0,0.0,4390000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
"Departamento Renta Zacatecas Roma Norte Pent House,","Zacatecas 0, Roma Norte, Cuauhtémoc, Distrito Federal",1252,depto,renta,6.0,19.4195256,-99.162549,4.0,2.0,3.0,270.0,270.0,0.0,60000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
"12480 Colima, Roma Norte","Colima, Roma Norte, Cuauhtémoc, Distrito Federal",1265,depto,venta,,19.419436,-99.16253,2.0,2.0,2.0,90.0,90.0,0.0,5200000.0,metros_cubicos,POINT (-99.16253 19.419436),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Cuauhtemoc Roma Norte 211889al,"Roma Norte, Cuauhtémoc, Distrito Federal",1268,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,1.0,67.0,67.0,0.0,4250000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte Zacatecas 211895ru,"Roma Norte, Cuauhtémoc, Distrito Federal",1269,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,57.0,57.0,0.0,3640000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
