main_name,location,id,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final,source,geometry,index_right,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,Ambito,new_id,num_comercios,is_consultorio,is_recreativo,is_retail,is_escuela,is_depto,Baños_imp,Recámaras_imp,m2_totales_imp,m2_construidos_imp,precio_m2,precio_m2_con,m2_ratio,m2_price_ratio,precio_m2_final
departamento en renta en roma norte  ff  22 - 948 - 1,"Roma Norte, Cuauhtémoc, Distrito Federal",745,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,60.0,60.0,41.0,3395018.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,279,317.0,17.0,59.0,71.0,15.0,1,1.0,1.0,60.0,60.0,56583.63333333333,56583.63333333333,1.0,1.0,56583.63333333333
"pomona, col. roma norte. a 1 cuadra de insurgentes","Pomna 27, Roma Norte, Cuauhtémoc, Distrito Federal",770,depto,renta,8.0,19.4212897,-99.1626908,1.0,,1.0,60.0,60.0,30.0,9500.0,metros_cubicos,POINT (-99.16269079999999 19.4212897),12699,0901500011002,9,15,1,1002,Urbana,283,331.0,15.0,71.0,84.0,19.0,1,1.0,1.0,60.0,60.0,27142.85714285714,27142.85714285714,1.0,1.0,27142.85714285714
venta departamento  en la col roma norte ig221081,"Roma Norte, Cuauhtémoc, Distrito Federal",774,depto,venta,2.0,19.4195256,-99.162549,1.0,,1.0,42.0,42.0,41.0,2595000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,284,317.0,17.0,59.0,71.0,15.0,1,1.0,1.0,42.0,42.0,61785.71428571428,61785.71428571428,1.0,1.0,61785.71428571428
"venta depa remodelado en la roam, df. cat22-948","Roma Norte, Cuauhtémoc, Distrito Federal",785,depto,venta,4.0,19.4195256,-99.162549,1.0,,,60.0,60.0,41.0,3395000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,286,317.0,17.0,59.0,71.0,15.0,1,1.0,1.2,60.0,60.0,56583.333333333336,56583.333333333336,1.0,1.0,56583.333333333336
departamento en venta en roma norte  ff  22 - 1081 - 1,"Roma Norte, Cuauhtémoc, Distrito Federal",801,depto,venta,3.0,19.4195256,-99.162549,1.0,,1.0,42.0,42.0,41.0,2595018.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,287,317.0,17.0,59.0,71.0,15.0,1,1.0,1.0,42.0,42.0,61786.142857142855,61786.142857142855,1.0,1.0,61786.142857142855
departamento en renta en roma norte en zacatecas,"Roma Norte, Cuauhtémoc, Distrito Federal",810,depto,renta,15.0,19.4195256,-99.162549,2.0,1.0,3.0,96.0,96.0,10.0,21001.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,288,317.0,17.0,59.0,71.0,15.0,1,2.0,3.0,96.0,96.0,37501.78571428571,37501.78571428571,1.0,1.0,37501.78571428571
"venta depa super remodelado en la roma, df!mls #21-4976","Roma Norte, Cuauhtémoc, Distrito Federal",811,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,3.0,86.0,86.0,36.0,4495000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,289,317.0,17.0,59.0,71.0,15.0,1,2.0,3.0,86.0,86.0,52267.441860465115,52267.441860465115,1.0,1.0,52267.441860465115
departamento en renta - durango col roma enfrente de palacio de hierro,"Durango 320, Roma Norte, Cuauhtémoc, Distrito Federal",817,depto,renta,3.0,19.419525,-99.162549,2.0,,2.0,100.0,100.0,0.0,20000.0,metros_cubicos,POINT (-99.162549 19.419525),12699,0901500011002,9,15,1,1002,Urbana,290,317.0,17.0,59.0,71.0,15.0,1,2.0,2.0,100.0,100.0,34285.71428571428,34285.71428571428,1.0,1.0,34285.71428571428
departamento en venta en roma norte calle manzanillo 221081al,"Roma Norte, Cuauhtémoc, Distrito Federal",819,depto,venta,3.0,19.4195256,-99.162549,1.0,1.0,1.0,42.0,42.0,41.0,2595000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,291,317.0,17.0,59.0,71.0,15.0,1,1.0,1.0,42.0,42.0,61785.71428571428,61785.71428571428,1.0,1.0,61785.71428571428
"kw vende departamento en la calle de puebla, roma norte cerca de todo","Puebla, Roma Norte, Cuauhtémoc, Distrito Federal",824,depto,venta,3.0,19.419525,-99.162549,1.0,,2.0,89.0,89.0,0.0,3390000.0,metros_cubicos,POINT (-99.162549 19.419525),12699,0901500011002,9,15,1,1002,Urbana,292,317.0,17.0,59.0,71.0,15.0,1,1.0,2.0,89.0,89.0,38089.88764044944,38089.88764044944,1.0,1.0,38089.88764044944
departamento en venta roma norte cuauhtemoc ,"Roma Norte, Cuauhtémoc, Distrito Federal",854,depto,venta,2.0,19.4195256,-99.162549,3.0,2.0,3.0,151.0,151.0,1.0,10800000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,293,317.0,17.0,59.0,71.0,15.0,1,3.0,3.0,151.0,151.0,71523.17880794701,71523.17880794701,1.0,1.0,71523.17880794701
