id,price,name,lat,lon,Baños,Recámaras,terreno
90,5328686,"Departamento en Preventa en Prisma en Col Roma Norte,  2 Recamaras.",19.42402,-99.16076,2.0,2,98.0
95,728614,EXELENTE DEPARTAMENTO EN REMATE BANCARIO EN CUAUHTEMOC,19.41936,-99.17431,2.0,3,180.0
99,4100000,Departamento en venta Roma Norte,19.4117,-99.16136,2.0,2,90.0
101,7500000,ENCANTADOR DEPTO 2 RECS ROMA NORTE,19.41571,-99.15774,2.0,2,
104,4600000,Departamento en Venta Colonia Roma,19.41518,-99.16035,2.0,3,127.0
105,7300000,DEPARTAMENTO EN VENTA EN CUAUHTEMOC,19.41946,-99.16253,2.0,2,
106,9900000,"Roma Norte, Alcaldía Cuauhtémoc, CDMX",19.41952,-99.16254,3.0,3,
107,7699000,"Condesa, Alcaldía Cuauhtémoc, Ciudad de México, CDMX",19.41608,-99.16345,1.0,1,
109,7200000,Departamento en Venta en la Colonia Roma,19.41399,-99.16053,2.0,2,100.0
117,9700000,"Departamento en Venta con jardín, Colonia Roma",19.4223,-99.15658,3.0,2,
118,8200000,"DEPARTAMENTO EXCLUSIVO EN VENTA, ROMA NORTE",19.42453,-99.15737,2.0,2,
119,3465935,"UNICO ROMA - Coahuila 28, Roma Norte | 1 HAB 1E",19.41239,-99.15623,1.0,1,41.0
120,3325922,"ICON ROMA - Insurgentes sur 179, Roma Norte | 1 hab 1E",19.42165,-99.16376,1.0,1,38.0
126,4244240,"UNICO ROMA - Coahuila 28, Roma Norte | 2 HAB 1E",19.41239,-99.15623,1.0,2,58.0
127,5500000,"DEPARTAMENTO EN VENTA EN LA COL. ROMA  $5,500,000 de 2R2BE1",19.41416,-99.16005,2.0,2,102.0
128,4321857,DEPARTAMENTO EN PREVENTA EN LA ROMA,19.42186,-99.16364,1.0,1,
129,3950000,DEPARTAMENTO EN PREVENTA EN LA ROMA,19.41247,-99.15622,2.0,2,
130,2833260,DEPARTAMENTO CON TERRAZA EN CHAPULTEPEC,19.42187,-99.16916,1.0,1,
137,4800000,"DEPARTAMENTO EXTERIOR EN VENTA EN EL CORAZÃ?N DE LA ROMA. AMPLIO, SOLEADO Y TRANQUILO.",19.41952,-99.16254,2.0,2,97.0
138,3595000,Departamento en Venta Roma Norte,19.41828,-99.15572,1.0,1,60.0
139,9305538,Departamento en venta en Roma Norte,19.42083,-99.15597,2.0,3,130.0
140,4495000,Departamento en Venta en Roma Norte,19.41363,-99.15733,2.0,3,86.0
141,4900000,"12207 - Callejón de Romita, Roma Norte",19.42321,-99.1543,1.0,1,63.0
142,4890000,"12284 Av. Yucatan, Roma Norte",19.41308,-99.16083,2.0,2,93.0
143,2792170,"13216 Av Chapultepec, Roma Norte",19.42186,-99.16916,1.0,1,32.0
144,4419100,Venta Departamentos En Coahuila Roma Norte,19.41084,-99.16522,2.0,2,74.0
145,8584000,Venta Departamentos Roma Norte Tonala,19.42,-99.17,2.0,2,83.0
151,5300600,Venta Departamentos  Roma Sur,19.42145,-99.16697,2.0,2,84.0
152,4120000,"D1278 - Salamanca, Roma Norte",19.42064,-99.17022,1.0,1,40.0
153,4492244,"14568 San Luis Potosí, Roma Norte",19.41374,-99.161,1.0,1,53.0
154,4550000,"13939 - Chiapas, Roma Norte",19.41461,-99.16192,2.0,2,89.0
155,4500000,"D1321 - Av. Chapultepec, Roma Norte",19.42408,-99.15982,1.0,1,58.0
156,3500000,"10516 Chihuahua, Roma Norte",19.41828,-99.15567,1.0,2,65.0
157,3000000,"14157 Querétaro, Roma Norte",19.41534,-99.15821,2.0,2,30.0
158,4900000,"13556 Colima, Roma Norte",19.41943,-99.16253,2.0,2,98.0
159,3269750,"D1354 - Coahuila, Roma Norte",19.41239,-99.15623,1.0,1,41.0
