main_name,subtitle,link,location,id,price_mod,price_currency,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final
"Departamento En Venta En Cuauhtémoc, Roma Norte.  E.c",Departamento en venta,https://departamento.metroscubicos.com/MLM-1332983769-departamento-en-venta-en-cuauhtemoc-roma-norte-ec-_JM#position=27&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Roma Norte, Cuauhtémoc, Distrito Federal",987,3725003.0,pesos,depto,venta,3,19.4356338,-99.1495107,1,1,1,57.0,57.0,2.0,3725003.0
"Departamento En Venta En Cuauhtémoc, Roma Norte Gis.",Departamento en venta,https://departamento.metroscubicos.com/MLM-1320584007-departamento-en-venta-en-cuauhtemoc-roma-norte-gis-_JM#position=28&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Roma Norte, Cuauhtémoc, Distrito Federal",988,4278000.0,pesos,depto,venta,4,19.4195256,-99.162549,2,1,1,67.0,67.0,2.0,4278000.0
Departamento En Venta Cuauhtémoc Roma Norte Gis,Departamento en venta,https://departamento.metroscubicos.com/MLM-1320577537-departamento-en-venta-cuauhtemoc-roma-norte-gis-_JM#position=29&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Roma Norte, Cuauhtémoc, Distrito Federal",989,3780000.0,pesos,depto,venta,4,19.4195256,-99.162549,1,1,1,57.0,57.0,2.0,3780000.0
Departamento En Renta En Roma,Departamento en renta,https://departamento.metroscubicos.com/MLM-1358122223-departamento-en-renta-en-roma-_JM#position=32&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Zacatecas, Roma Norte, Cuauhtémoc, Distrito Federal",992,19000.0,pesos,depto,renta,55,19.4451,-99.1461,1,,1,35.0,35.0,0.0,19000.0
Departamento En Venta En El Corazón De La Roma Norte.,Departamento en venta,https://departamento.metroscubicos.com/MLM-1367879382-departamento-en-venta-en-el-corazon-de-la-roma-norte-_JM#position=33&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal",993,4650000.0,pesos,depto,venta,26,19.413879,-99.160909,2,1,2,98.0,98.0,0.0,4650000.0
Bello Departamento En San Luis Potosi Venta Mls #22-945,Departamento en venta,https://departamento.metroscubicos.com/MLM-1340202999-bello-departamento-en-san-luis-potosi-venta-mls-22-945-_JM#position=34&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Roma Norte, Cuauhtémoc, Distrito Federal",994,9935982.0,pesos,depto,venta,3,19.4173639,-99.1594532,,,,,,,9935982.0
Roma Norte,Departamento en venta,https://departamento.metroscubicos.com/MLM-1325243739-roma-norte-_JM#position=35&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Frontera, Roma Norte, Cuauhtémoc, Distrito Federal",995,6800000.0,pesos,depto,venta,4,19.4181531,-99.1652014,2,1,2,133.0,133.0,0.0,6800000.0
Preventa Exclusivo Departamento En El Corazón De La Roma. 22-932,Departamento en venta,https://departamento.metroscubicos.com/MLM-1323234608-preventa-exclusivo-departamento-en-el-corazon-de-la-roma-22-932-_JM#position=36&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Roma Norte, Cuauhtémoc, Distrito Federal",996,9343315.0,pesos,depto,venta,4,19.4137406,-99.1610013,2,2,2,146.0,146.0,0.0,9343315.0
Departamento En Venta Roma Norte Fcrahref,Departamento en venta,https://departamento.metroscubicos.com/MLM-1371028067-departamento-en-venta-roma-norte-fcrahref-_JM#position=38&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Roma Norte, Cuauhtémoc, Distrito Federal",998,10500000.0,pesos,depto,venta,18,19.4195256,-99.162549,3,2,3,151.0,151.0,3.0,10500000.0
Departamento En Venta Roma Norte Fcrahref,Departamento en venta,https://departamento.metroscubicos.com/MLM-1352135590-departamento-en-venta-roma-norte-fcrahref-_JM#position=39&search_layout=grid&type=item&tracking_id=5fe71a78-aad9-4c9f-91d4-76731aed1316,"Roma Norte, Cuauhtémoc, Distrito Federal",999,10800000.0,pesos,depto,venta,2,19.4195256,-99.162549,3,2,3,151.0,151.0,2.0,10800000.0
