main_name,subtitle,link,location,id,price_mod,price_currency,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final
Renta Departamento En Roma Norte,Departamento en renta,https://departamento.metroscubicos.com/MLM-1376327757-renta-departamento-en-roma-norte-_JM#position=1&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Av Chapultepec 322, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",1,17500.0,pesos,depto,renta,6,19.4229918,-99.1642322,2,1,2,85.0,85.0,1.0,17500.0
Casa En Venta Colonia Roma Norte,Casa en venta,https://casa.metroscubicos.com/MLM-1376829218-casa-en-venta-colonia-roma-norte-_JM#position=2&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Roma Norte, Cuauhtémoc, Distrito Federal",2,19500000.0,pesos,casa,venta,5,19.4205803,-99.1591294,3,1,3,114.0,255.0,0.0,19500000.0
"Departamento En Venta En Col. Roma Norte, Cuauhtémoc",Departamento en venta,https://departamento.metroscubicos.com/MLM-1378964342-departamento-en-venta-en-col-roma-norte-cuauhtemoc-_JM#position=3&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal",3,5295000.0,pesos,depto,venta,1,19.4142857,-99.1592041,2,1,3,135.0,135.0,55.0,5295000.0
"Departamento En Venta En Col. Roma Norte, Cuauhtémoc",Departamento en venta,https://departamento.metroscubicos.com/MLM-1378964344-departamento-en-venta-en-col-roma-norte-cuauhtemoc-_JM#position=4&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal",4,5495000.0,pesos,depto,venta,1,19.414309,-99.1580519,2,2,2,79.0,79.0,10.0,5495000.0
"Departamento En Venta Con Terraza, Roma Norte, Cuauhtemoc",Departamento en venta,https://departamento.metroscubicos.com/MLM-1378230865-departamento-en-venta-con-terraza-roma-norte-cuauhtemoc-_JM#position=5&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Roma Norte, Cuauhtémoc, Distrito Federal",5,5495000.0,pesos,depto,venta,2,19.414309,-99.1580519,2,2,2,79.0,79.0,10.0,5495000.0
Renta Casa A Estrenar En Condominio Roma Norte,Casa en renta,https://casa.metroscubicos.com/MLM-1377874437-renta-casa-a-estrenar-en-condominio-roma-norte-_JM#position=6&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Cozumel S/n, Roma Norte, Cuauhtémoc, Distrito Federal",6,45000.0,pesos,casa,renta,4,19.419022,-99.1709307,4,,3,800.0,169.0,0.0,45000.0
Venta Departamento Roma Alberca Cuauhtemoc,Departamento en venta,https://departamento.metroscubicos.com/MLM-941664473-venta-departamento-roma-alberca-cuauhtemoc-_JM#position=7&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Queretaro, Roma Norte, Cuauhtémoc, Distrito Federal",7,6700000.0,pesos,depto,venta,7,19.413676,-99.1654703,2,1,2,90.0,90.0,3.0,6700000.0
"Departamento En Venta En Roma Norte, Cuauhtémoc",Departamento en venta,https://departamento.metroscubicos.com/MLM-1361677423-departamento-en-venta-en-roma-norte-cuauhtemoc-_JM#position=8&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Chihuahua, Roma Norte, Cuauhtémoc, Distrito Federal",8,2800000.0,pesos,depto,venta,43,19.416335,-99.1648546,1,,2,70.0,70.0,0.0,2800000.0
"Departamento En Roma Norte, Cuauhtémoc Con 3 Recámaras, 146 M², Id: 36895",Departamento en venta,https://departamento.metroscubicos.com/MLM-1323145292-departamento-en-roma-norte-cuauhtemoc-con-3-recamaras-146-m-id-36895-_JM#position=9&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal",9,7500000.0,pesos,depto,venta,,19.4130874,-99.1634537,2,3,3,179.0,146.0,0.0,7500000.0
Departamento En Renta En Element Roma (303),Departamento en renta,https://departamento.metroscubicos.com/MLM-875782610-departamento-en-renta-en-element-roma-303-_JM#position=10&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Colima 334, Roma Norte, Cuauhtémoc, Distrito Federal",10,28500.0,pesos,depto,renta,1,19.4182051,-99.1671974,2,1,2,89.25,89.25,2.0,28500.0
"Departamento En Venta En Tonalá, Roma Norte Para Inversionis",Departamento en venta,https://departamento.metroscubicos.com/MLM-1362106251-departamento-en-venta-en-tonala-roma-norte-para-inversionis-_JM#position=11&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Tonala, Roma Norte, Cuauhtémoc, Distrito Federal",11,8550000.0,pesos,depto,venta,42,19.4129403,-99.1615832,2,1,2,114.0,114.0,0.0,8550000.0
"Departamento En Roma Norte, Cuauhtémoc Con 2 Recámaras, 202 M², Id: 57072",Departamento en venta,https://departamento.metroscubicos.com/MLM-1375792024-departamento-en-roma-norte-cuauhtemoc-con-2-recamaras-202-m-id-57072-_JM#position=12&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"San Luis Potosí 78, Roma Norte, Cuauhtémoc, Distrito Federal",12,8000000.0,pesos,depto,venta,,19.414309,-99.1580519,3,2,2,202.0,202.0,9.0,8000000.0
Sinaloa Roma Norte,Departamento en venta,https://departamento.metroscubicos.com/MLM-1317100429-sinaloa-roma-norte-_JM#position=13&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Sinaloa, Roma Norte, Cuauhtémoc, Distrito Federal",13,4100000.0,pesos,depto,venta,,19.419891,-99.172019,1,1,1,64.0,64.0,0.0,4100000.0
Venta Departamento Remodelado Roma Norte Baja De Precio!!,Departamento en venta,https://departamento.metroscubicos.com/MLM-1358541533-venta-departamento-remodelado-roma-norte-baja-de-precio-_JM#position=14&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Guanajuato, Roma Norte, Cuauhtémoc, Distrito Federal",14,2750000.0,pesos,depto,venta,54,19.4168211,-99.1596475,1,,2,68.0,68.0,60.0,2750000.0
"Departamento En Roma Norte, Cuauhtémoc Con 2 Recámaras, 146 M², Id: 56344",Departamento en venta,https://departamento.metroscubicos.com/MLM-1375823469-departamento-en-roma-norte-cuauhtemoc-con-2-recamaras-146-m-id-56344-_JM#position=15&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Avenida Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",15,7425000.0,pesos,depto,venta,,19.4205986,-99.175132,2,1,2,146.0,146.0,50.0,7425000.0
"Departamento En Roma Norte, Cuauhtémoc Con 2 Recámaras, 90 M², Id: 56425",Departamento en venta,https://departamento.metroscubicos.com/MLM-1375804613-departamento-en-roma-norte-cuauhtemoc-con-2-recamaras-90-m-id-56425-_JM#position=16&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal",16,5600000.0,pesos,depto,venta,,19.414309,-99.1580519,2,2,2,97.0,90.0,10.0,5600000.0
Departamento Cerca De Metro Insurgentes Y Av Cuauhtémoc,Departamento en renta,https://departamento.metroscubicos.com/MLM-1359412176-departamento-cerca-de-metro-insurgentes-y-av-cuauhtemoc-_JM#position=17&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Colima 46, Roma Norte, Cuauhtémoc, Distrito Federal",17,22000.0,pesos,depto,renta,3,19.4208119,-99.1556128,2,2,2,100.0,120.0,12.0,22000.0
"2799 Guanajuato, Roma Norte",Departamento en venta,https://departamento.metroscubicos.com/MLM-1317159822-2799-guanajuato-roma-norte-_JM#position=19&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Guanajuato, Roma Norte, Cuauhtémoc, Distrito Federal",19,6000000.0,pesos,depto,venta,,19.415931,-99.164594,3,1,2,100.0,100.0,0.0,6000000.0
"662 San Luis Potosí, Roma Norte",Departamento en venta,https://departamento.metroscubicos.com/MLM-1317159575-662-san-luis-potosi-roma-norte-_JM#position=20&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"San Luis Potosí, Roma Norte, Cuauhtémoc, Distrito Federal",20,5900000.0,pesos,depto,venta,,19.414611,-99.158197,2,2,3,115.0,115.0,0.0,5900000.0
"3320 Coahuila, Roma Norte",Departamento en venta,https://departamento.metroscubicos.com/MLM-1317108270-3320-coahuila-roma-norte-_JM#position=21&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Coahuila, Roma Norte, Cuauhtémoc, Distrito Federal",21,4690000.0,pesos,depto,venta,,19.4109378,-99.1654649,1,1,1,70.0,70.0,0.0,4690000.0
Departamento En Venta En Roma Norte,Departamento en venta,https://departamento.metroscubicos.com/MLM-927094347-departamento-en-venta-en-roma-norte-_JM#position=22&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Cerrada Salamanca 73, Roma Norte, Cuauhtémoc, Distrito Federal",22,4200000.0,pesos,depto,venta,2,19.4186073,-99.1696563,1,1,2,400.0,95.0,10.0,4200000.0
Departamento En Venta Calle Tonalá 122 Colonia Roma,Departamento en venta,https://departamento.metroscubicos.com/MLM-1359190040-departamento-en-venta-calle-tonala-122-colonia-roma-_JM#position=23&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Tonala 122, Roma Norte, Cuauhtémoc, Distrito Federal",23,2800000.0,pesos,depto,venta,1,19.41597,-99.1619833,1,1,3,67.0,81.0,25.0,2800000.0
Espléndido Departamento En La Roma,Departamento en renta,https://departamento.metroscubicos.com/MLM-1356010656-esplendido-departamento-en-la-roma-_JM#position=24&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Zacatecas 65, Roma Norte, Cuauhtémoc, Distrito Federal",24,21500.0,pesos,depto,renta,4,19.416524,-99.157399,2,1,3,95.0,95.0,10.0,21500.0
"1360 Av. Chapultepec, Roma Norte",Departamento en venta,https://departamento.metroscubicos.com/MLM-1317153925-1360-av-chapultepec-roma-norte-_JM#position=25&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Av  Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",25,6500000.0,pesos,depto,venta,,19.423792,-99.161901,2,2,3,187.0,187.0,0.0,6500000.0
Departamento De 2 Niveles En La Roma Norte,Departamento en venta,https://departamento.metroscubicos.com/MLM-1371129382-departamento-de-2-niveles-en-la-roma-norte-_JM#position=26&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Córdoba 74, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",26,5990000.0,pesos,depto,venta,18,19.4205052,-99.1587829,2,2,2,128.0,128.0,12.0,5990000.0
Últimos Deptos En Preventa En Roma Norte,Departamento en venta,https://departamento.metroscubicos.com/MLM-1374256918-ultimos-deptos-en-preventa-en-roma-norte-_JM#position=27&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Frontera, Roma Norte, Cuauhtémoc, Distrito Federal",27,6732700.0,pesos,depto,venta,11,19.4196927,-99.1560364,2,1,2,103.0,103.0,0.0,6732700.0
Renta Departamento En Roma Norte,Departamento en renta,https://departamento.metroscubicos.com/MLM-1362972854-renta-departamento-en-roma-norte-_JM#position=28&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Sinaloa 170, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",28,21000.0,pesos,depto,renta,40,19.4193742,-99.171225,2,1,2,92.0,92.0,15.0,21000.0
"Excelente Departamento En La Condesa, Cdmx, 4349",Departamento en renta,https://departamento.metroscubicos.com/MLM-1352115657-excelente-departamento-en-la-condesa-cdmx-4349-_JM#position=29&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Salamanca, Roma Norte, Cuauhtémoc, Distrito Federal",29,19700.0,pesos,depto,renta,,19.4186259,-99.1695609,1,1,2,60.0,60.0,0.0,19700.0
D283 - Coahuila,Departamento en venta,https://departamento.metroscubicos.com/MLM-1316982655-d283-coahuila-_JM#position=30&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Coahuila, Roma Norte, Cuauhtémoc, Distrito Federal",30,3150850.0,pesos,depto,venta,,19.412467,-99.156227,1,1,1,41.0,41.0,0.0,3150850.0
Preventa Exclusiva · Terraloza Roma Norte ·,Departamento en venta,https://departamento.metroscubicos.com/MLM-1367171972-preventa-exclusiva-terraloza-roma-norte--_JM#position=32&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Tonala, Roma Norte, Cuauhtémoc, Distrito Federal",32,4264000.0,pesos,depto,venta,28,19.4210293,-99.1635414,1,,1,54.0,54.0,0.0,4264000.0
"Departamento En Venta, Roma Norte, Guanajuato (202)",Departamento en venta,https://departamento.metroscubicos.com/MLM-1370007737-departamento-en-venta-roma-norte-guanajuato-202-_JM#position=33&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Guanajuato, Cuauhtémoc, Distrito Federal",33,9789570.0,pesos,depto,venta,20,19.417364,-99.159454,4,2,3,0.0,153.0,0.0,9789570.0
Departamento En Renta En Element Roma (302),Departamento en renta,https://departamento.metroscubicos.com/MLM-875782606-departamento-en-renta-en-element-roma-302-_JM#position=36&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Colima 334, Roma Norte, Cuauhtémoc, Distrito Federal",36,38500.0,pesos,depto,renta,1,19.4182051,-99.1671974,2,2,2,106.0,106.0,2.0,38500.0
Departamento En Venta Colonia Roma 3 Recámaras,Departamento en venta,https://departamento.metroscubicos.com/MLM-1361671133-departamento-en-venta-colonia-roma-3-recamaras-_JM#position=37&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"San Luis Potosi, Roma Norte, Cuauhtémoc, Distrito Federal",37,11407308.0,pesos,depto,venta,43,19.4141846,-99.1597243,2,2,2,158.0,158.0,0.0,11407308.0
"Departamento En Roma Norte, Cuauhtémoc Con 3 Recámaras, 141 M², Id: 49920",Departamento en venta,https://departamento.metroscubicos.com/MLM-1361331494-departamento-en-roma-norte-cuauhtemoc-con-3-recamaras-141-m-id-49920-_JM#position=39&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Calle Querétaro, Roma Norte, Cuauhtémoc, Distrito Federal",39,8200000.0,pesos,depto,venta,,19.4136766,-99.1654682,3,1,3,141.0,141.0,3.0,8200000.0
Plaza Río De Janeiro Departamento Remodelado,Departamento en renta,https://departamento.metroscubicos.com/MLM-1358539178-plaza-rio-de-janeiro-departamento-remodelado-_JM#position=42&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Plaza Río De Janeiro 53, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",42,32000.0,pesos,depto,renta,54,19.4211906,-99.1611555,2,1,3,208.0,208.0,0.0,32000.0
"Departamento Con Terraza Privada,  De Dos Niveles,  En Planta Baja",Departamento en venta,https://departamento.metroscubicos.com/MLM-1356469701-departamento-con-terraza-privada-de-dos-niveles-en-planta-baja-_JM#position=43&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Jalapa 164, Roma Norte, Cuauhtémoc, Distrito Federal",43,4950000.0,pesos,depto,venta,1,19.4152831,-99.160323,2,2,2,99.0,99.0,7.0,4950000.0
Departamento En Venta En Roma Norte Con Excelente Ubicación,Departamento en venta,https://departamento.metroscubicos.com/MLM-1361683764-departamento-en-venta-en-roma-norte-con-excelente-ubicacion-_JM#position=44&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Oaxaca, Roma Norte, Cuauhtémoc, Distrito Federal",44,7500000.0,pesos,depto,venta,43,19.4168808,-99.1693402,2,2,2,94.0,94.0,0.0,7500000.0
Departamento En Venta En La Colonia Roma Norte,Departamento en venta,https://departamento.metroscubicos.com/MLM-924787538-departamento-en-venta-en-la-colonia-roma-norte-_JM#position=45&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"Colima 251, Roma Norte, Cuauhtémoc, Distrito Federal",45,5600000.0,pesos,depto,venta,9,19.4192957,-99.1635835,2,1,2,90.0,90.0,7.0,5600000.0
Increíble Depto En El Corazón De La Roma,Departamento en renta,https://departamento.metroscubicos.com/MLM-1367892564-increible-depto-en-el-corazon-de-la-roma-_JM#position=47&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61,"San Luis Potosi  79, Roma Norte, Cuauhtémoc, Distrito Federal",47,22000.0,pesos,depto,renta,26,19.4146191,-99.1581994,2,2,1,102.0,102.0,0.0,22000.0
4855 Zacatecas 3,Departamento en venta,https://departamento.metroscubicos.com/MLM-1317100563-4855-zacatecas-3-_JM#position=3&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Zacatecas, Roma Norte, Cuauhtémoc, Distrito Federal",51,4750000.0,pesos,depto,venta,,19.417043,-99.154625,2,1,1,70.0,70.0,0.0,4750000.0
Roma Norte Venta De Hermosa Casa Con Acabados De Lujo.,Casa en venta,https://casa.metroscubicos.com/MLM-1362501123-roma-norte-venta-de-hermosa-casa-con-acabados-de-lujo-_JM#position=4&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Cozumel Sn, Roma Norte, Cuauhtémoc, Distrito Federal",52,11599000.0,pesos,casa,venta,41,19.4190796,-99.1709152,3,,3,800.0,169.0,1.0,11599000.0
"Renta Departamento Amueblado Roma Norte , Super Ubicacion ",Departamento en renta,https://departamento.metroscubicos.com/MLM-1372354627-renta-departamento-amueblado-roma-norte-super-ubicacion-_JM#position=6&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Colima 326, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",54,26000.0,pesos,depto,renta,43,19.4182902,-99.1667248,1,1,2,95.0,95.0,0.0,26000.0
Depa En La Roma Norte Acepto Creditos,Departamento en venta,https://departamento.metroscubicos.com/MLM-1365056582-depa-en-la-roma-norte-acepto-creditos-_JM#position=7&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Zacatecas 0, Roma Norte, Cuauhtémoc, Distrito Federal",55,4500000.0,pesos,depto,venta,11,19.414149,-99.1645398,2,1,3,1053.0,93.0,15.0,4500000.0
Departamento Nuevo En Venta - Roma Norte,Departamento en venta,https://departamento.metroscubicos.com/MLM-1371045482-departamento-nuevo-en-venta-roma-norte-_JM#position=9&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Coahuila 10, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",57,6870431.0,pesos,depto,venta,18,19.412594,-99.1552653,2,1,3,132.0,95.0,1.0,6870431.0
Plaza Río De Janeiro En Venta Departamento Remodelado,Departamento en venta,https://departamento.metroscubicos.com/MLM-1360437554-plaza-rio-de-janeiro-en-venta-departamento-remodelado-_JM#position=10&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Plaza Río De Janeiro 53, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",58,13500000.0,pesos,depto,venta,48,19.4211906,-99.1611555,2,1,3,208.0,208.0,0.0,13500000.0
Departamento Nuevo En Venta - Roma Norte,Departamento en venta,https://departamento.metroscubicos.com/MLM-1371039581-departamento-nuevo-en-venta-roma-norte-_JM#position=11&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Coahuila 10, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",59,7276231.0,pesos,depto,venta,18,19.412594,-99.1552653,2,1,3,147.0,95.0,1.0,7276231.0
"Confortable Depa En Roma Norte, Cerca De Metro Sevilla, 71465",Departamento en renta,https://departamento.metroscubicos.com/MLM-1365813778-confortable-depa-en-roma-norte-cerca-de-metro-sevilla-71465-_JM#position=13&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Calle Salamanca, Roma Norte, Cuauhtémoc, Distrito Federal",61,18500.0,pesos,depto,renta,,19.419837,-99.1695818,2,1,2,65.0,65.0,0.0,18500.0
"Increíble Departamento Amueblado Cerca De Fuente De Cibeles, 12380",Departamento en renta,https://departamento.metroscubicos.com/MLM-1372293732-increible-departamento-amueblado-cerca-de-fuente-de-cibeles-12380-_JM#position=14&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Medellin, Roma Norte, Cuauhtémoc, Distrito Federal",62,26850.0,pesos,depto,renta,,19.4211777,-99.1667885,2,2,2,98.0,98.0,0.0,26850.0
"Excelente Departamento En La Roma Norte, Cuauhtémoc, 37770",Departamento en renta,https://departamento.metroscubicos.com/MLM-1352779354-excelente-departamento-en-la-roma-norte-cuauhtemoc-37770-_JM#position=15&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Zacatecas, Roma Norte, Cuauhtémoc, Distrito Federal",63,25500.0,pesos,depto,renta,,19.4161493,-99.1575625,2,1,2,130.0,130.0,0.0,25500.0
"Departamento En Roma Norte, Cuauhtémoc Con 3 Recámaras, 154 M², Id: 41504",Departamento en venta,https://departamento.metroscubicos.com/MLM-1323153292-departamento-en-roma-norte-cuauhtemoc-con-3-recamaras-154-m-id-41504-_JM#position=18&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Colima, Roma Norte, Cuauhtémoc, Distrito Federal",66,10592361.0,pesos,depto,venta,,19.4210727,-99.1557975,2,2,3,168.0,154.0,0.0,10592361.0
Excelente Ubicación Con Roof Garden Privado De 52m2,Departamento en venta,https://departamento.metroscubicos.com/MLM-1363822469-excelente-ubicacion-con-roof-garden-privado-de-52m2-_JM#position=19&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Av. Chapultepec Sn, Roma Norte, Cuauhtémoc, Distrito Federal",67,5250000.0,pesos,depto,venta,3,19.4244343,-99.1594778,3,1,2,114.0,62.47,0.0,5250000.0
"Durango, Colonia Roma Norte",Departamento en renta,https://departamento.metroscubicos.com/MLM-1359932410-durango-colonia-roma-norte-_JM#position=20&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Durango, Colonia Roma Norte, Cuauhtémoc, Distrito Federal",68,23000.0,pesos,depto,renta,,19.4187681,-99.173099,2,1,2,100.0,100.0,0.0,23000.0
Hermoso Departamento De Una Recámara Con Terraza Privada,Departamento en venta,https://departamento.metroscubicos.com/MLM-1373368784-hermoso-departamento-de-una-recamara-con-terraza-privada-_JM#position=21&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Real De Romita 4, La Romita, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",69,4995000.0,pesos,depto,venta,26,19.4236389,-99.1541224,1,,1,69002.0,93000.0,0.0,4995000.0
Renta Departamento Amueblado Roma Norte,Departamento en renta,https://departamento.metroscubicos.com/MLM-1376401803-renta-departamento-amueblado-roma-norte-_JM#position=22&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Av Chapultepec 322, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",70,22000.0,pesos,depto,renta,6,19.4229918,-99.1642322,2,1,2,85.0,85.0,1.0,22000.0
Espectacular Ph Con Roof Privado En Plaza Rio De Janeiro,Departamento en renta,https://departamento.metroscubicos.com/MLM-1375965871-espectacular-ph-con-roof-privado-en-plaza-rio-de-janeiro-_JM#position=23&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Rio De Janeiro, Roma Norte, Cuauhtémoc, Distrito Federal",71,90000.0,pesos,depto,renta,6,19.4205448,-99.1598208,2,2,2,200.0,200.0,8.0,90000.0
"Departamento En Venta, Roma Norte, Cuauhtemoc",Departamento en venta,https://departamento.metroscubicos.com/MLM-1377584378-departamento-en-venta-roma-norte-cuauhtemoc-_JM#position=25&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Roma Norte, Cuauhtémoc, Distrito Federal",73,5295000.0,pesos,depto,venta,4,19.4142857,-99.1592041,2,1,2,135.0,135.0,55.0,5295000.0
Renta Casa En Condominio Roma Norte,Casa en renta,https://casa.metroscubicos.com/MLM-1371144178-renta-casa-en-condominio-roma-norte-_JM#position=26&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Calle Querétaro 12, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",74,37500.0,pesos,casa,renta,55,19.4157141,-99.1553039,2,2,3,102.0,180.0,40.0,37500.0
Departamento En Venta - Colonia Roma,Departamento en venta,https://departamento.metroscubicos.com/MLM-845360419-departamento-en-venta-colonia-roma-_JM#position=27&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Medellin  108, Roma Norte, Cuauhtémoc, Distrito Federal",75,5500000.0,pesos,depto,venta,1,19.4165297,-99.1656371,2,1,2,107.0,107.0,0.0,5500000.0
Departamento Ph En Venta En Roma Norte Zacatecas 212447ru,Departamento en venta,https://departamento.metroscubicos.com/MLM-1366756705-departamento-ph-en-venta-en-roma-norte-zacatecas-212447ru-_JM#position=28&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Roma Norte, Cuauhtémoc, Distrito Federal",76,12900004.0,pesos,depto,venta,29,19.4195256,-99.162549,3,2,3,284.0,284.0,2.0,12900004.0
Se Vende Departamento Exterior En Precioso Edificio De Fachada Catalogada,Departamento en venta,https://departamento.metroscubicos.com/MLM-1372394747-se-vende-departamento-exterior-en-precioso-edificio-de-fachada-catalogada-_JM#position=29&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7,"Calle Querétaro 1 - 300, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",77,6680000.0,pesos,depto,venta,15,19.4146488,-99.1604736,2,2,3,114.0,114.0,12.0,6680000.0
